Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
2,0,0,2,2020-02-25
0,0,0,2,2020-02-26
0,0,0,2,2020-02-27
2,0,0,4,2020-02-28
0,0,0,4,2020-02-29
0,0,0,4,2020-03-01
1,0,0,5,2020-03-02
0,0,0,5,2020-03-03
0,0,0,5,2020-03-04
1,0,0,6,2020-03-05
0,0,0,6,2020-03-06
0,0,1,5,2020-03-07
0,0,0,5,2020-03-08
10,0,0,15,2020-03-09
3,0,1,17,2020-03-10
1,0,0,18,2020-03-11
8,0,0,26,2020-03-12
3,0,0,29,2020-03-13
22,0,0,51,2020-03-14
83,0,0,134,2020-03-15
100,0,0,234,2020-03-16
63,0,0,297,2020-03-17
155,2,11,439,2020-03-18
47,1,0,485,2020-03-19
229,0,0,714,2020-03-20
46,2,-8,766,2020-03-21
99,1,0,864,2020-03-22
97,1,13,947,2020-03-23
91,1,3,1034,2020-03-24
138,1,0,1171,2020-03-25
172,2,2,1339,2020-03-26
122,1,6,1454,2020-03-27
102,2,0,1554,2020-03-28
120,7,47,1620,2020-03-29
221,5,0,1836,2020-03-30
180,1,18,1997,2020-03-31
303,7,31,2262,2020-04-01
265,6,1,2520,2020-04-02
132,1,5,2646,2020-04-03
339,6,80,2899,2020-04-04
609,6,48,3454,2020-04-05
269,4,170,3549,2020-04-06
228,4,38,3735,2020-04-07
226,4,105,3852,2020-04-08
206,1,155,3902,2020-04-09
316,20,35,4163,2020-04-10
219,5,266,4111,2020-04-11
266,2,67,4308,2020-04-12
341,3,283,4363,2020-04-13
546,15,68,4826,2020-04-14
536,17,199,5146,2020-04-15
106,7,120,5125,2020-04-16
613,8,67,5663,2020-04-17
710,25,36,6312,2020-04-18
70,8,102,6272,2020-04-19
1147,25,103,7291,2020-04-20
511,11,83,7708,2020-04-21
1079,25,371,8391,2020-04-22
785,16,228,8932,2020-04-23
783,16,111,9588,2020-04-24
605,12,70,10111,2020-04-25
587,11,93,10594,2020-04-26
697,20,204,11067,2020-04-27
913,31,192,11757,2020-04-28
1292,42,890,12117,2020-04-29
1297,32,400,12982,2020-04-30
989,23,102,13846,2020-05-01
981,17,297,14513,2020-05-02
857,19,521,14830,2020-05-03
1108,38,166,15734,2020-05-04
2024,50,663,17045,2020-05-05
571,21,0,17595,2020-05-06
1791,14,1066,18306,2020-05-07
2301,37,279,20291,2020-05-08
1598,23,254,21612,2020-05-09
1747,47,492,22820,2020-05-10
2255,31,257,24787,2020-05-11
962,24,87,25638,2020-05-12
490,9,796,25323,2020-05-13
3011,64,1185,27085,2020-05-14
0,0,0,27085,2020-05-15
1352,39,461,27937,2020-05-16
1974,30,581,29300,2020-05-17
1841,36,567,30538,2020-05-18
1932,46,612,31812,2020-05-19
2193,32,1054,32919,2020-05-20
2603,50,1046,34426,2020-05-21
1743,34,1452,34683,2020-05-22
2164,32,545,36270,2020-05-23
1748,34,284,37700,2020-05-24
1356,30,832,38194,2020-05-25
1446,28,828,38784,2020-05-26
2076,35,1089,39736,2020-05-27
2801,57,2074,40406,2020-05-28
2429,78,1826,40931,2020-05-29
3039,88,1140,42742,2020-05-30
2964,60,812,44834,2020-05-31
3938,78,1027,47667,2020-06-01
4065,67,1813,49852,2020-06-02
4801,82,1205,53366,2020-06-03
