Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
3,0,0,3,2020-03-20
0,0,0,3,2020-03-21
0,0,0,3,2020-03-22
9,0,0,12,2020-03-23
5,0,0,17,2020-03-24
2,0,0,19,2020-03-25
4,0,0,23,2020-03-26
3,0,0,26,2020-03-27
0,0,0,26,2020-03-28
13,0,0,39,2020-03-29
4,0,0,43,2020-03-30
14,0,0,57,2020-03-31
0,0,0,57,2020-04-01
2,0,0,59,2020-04-02
11,0,0,70,2020-04-03
0,0,0,70,2020-04-04
2,0,2,70,2020-04-05
10,0,0,80,2020-04-06
6,0,5,81,2020-04-07
5,0,4,82,2020-04-08
0,0,0,82,2020-04-09
0,0,0,82,2020-04-10
9,0,0,91,2020-04-11
4,0,9,86,2020-04-12
0,0,1,85,2020-04-13
2,0,2,85,2020-04-14
2,0,6,81,2020-04-15
1,0,4,78,2020-04-16
6,0,0,84,2020-04-17
3,0,2,85,2020-04-18
1,0,4,82,2020-04-19
0,0,2,80,2020-04-20
0,0,3,77,2020-04-21
0,0,8,69,2020-04-22
0,0,6,63,2020-04-23
1,0,3,61,2020-04-24
1,0,1,61,2020-04-25
1,0,9,53,2020-04-26
4,0,4,53,2020-04-27
0,0,7,46,2020-04-28
0,0,8,38,2020-04-29
0,0,2,36,2020-04-30
4,0,2,38,2020-05-01
3,0,3,38,2020-05-02
14,0,1,51,2020-05-03
0,0,1,50,2020-05-04
2,0,2,50,2020-05-05
7,0,0,57,2020-05-06
35,0,0,92,2020-05-07
0,0,0,92,2020-05-08
0,0,0,92,2020-05-09
0,0,0,92,2020-05-10
-7,0,0,85,2020-05-11
0,0,0,85,2020-05-12
26,0,6,105,2020-05-13
18,0,1,122,2020-05-14
8,0,4,126,2020-05-15
45,0,2,169,2020-05-16
21,1,0,189,2020-05-17
18,0,5,202,2020-05-18
4,1,0,205,2020-05-19
45,0,12,238,2020-05-20
34,0,0,272,2020-05-21
43,0,4,311,2020-05-22
40,0,3,348,2020-05-23
39,0,4,383,2020-05-24
15,0,5,393,2020-05-25
44,0,0,437,2020-05-26
26,0,4,459,2020-05-27
44,0,3,500,2020-05-28
42,3,10,529,2020-05-29
60,1,1,587,2020-05-30
13,0,3,597,2020-05-31
55,0,6,646,2020-06-01
19,0,11,654,2020-06-02
63,0,10,707,2020-06-03
49,1,5,750,2020-06-04
18,0,1,767,2020-06-05
51,1,11,806,2020-06-06
26,1,21,810,2020-06-07
42,0,21,831,2020-06-08
44,0,20,855,2020-06-09
24,1,22,856,2020-06-10
41,0,16,881,2020-06-11
