Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
2,0,0,2,2020-01-23
0,0,0,2,2020-01-24
0,0,0,2,2020-01-25
0,0,0,2,2020-01-26
0,0,0,2,2020-01-27
0,0,0,2,2020-01-28
0,0,0,2,2020-01-29
0,0,0,2,2020-01-30
0,0,0,2,2020-01-31
4,0,1,5,2020-02-01
0,0,0,5,2020-02-02
2,0,0,7,2020-02-03
0,0,0,7,2020-02-04
0,0,0,7,2020-02-05
2,0,0,9,2020-02-06
0,0,0,9,2020-02-07
3,0,0,12,2020-02-08
0,0,0,12,2020-02-09
1,0,0,13,2020-02-10
1,0,5,9,2020-02-11
0,0,0,9,2020-02-12
1,0,1,9,2020-02-13
0,0,0,9,2020-02-14
0,0,0,9,2020-02-15
0,0,0,9,2020-02-16
0,0,0,9,2020-02-17
0,0,0,9,2020-02-18
0,0,0,9,2020-02-19
0,0,0,9,2020-02-20
0,0,7,2,2020-02-21
0,0,0,2,2020-02-22
0,0,0,2,2020-02-23
0,0,0,2,2020-02-24
0,0,2,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
2,0,0,2,2020-03-07
12,0,0,14,2020-03-08
0,0,0,14,2020-03-09
1,0,0,15,2020-03-10
7,0,0,22,2020-03-11
1,0,0,23,2020-03-12
8,0,0,31,2020-03-13
6,0,0,37,2020-03-14
3,0,0,40,2020-03-15
5,0,0,45,2020-03-16
5,0,0,50,2020-03-17
9,0,0,59,2020-03-18
10,0,0,69,2020-03-19
6,0,0,75,2020-03-20
3,0,1,77,2020-03-21
19,0,0,96,2020-03-22
10,0,0,106,2020-03-23
11,0,0,117,2020-03-24
7,0,0,124,2020-03-25
12,0,3,133,2020-03-26
10,0,0,143,2020-03-27
11,0,1,153,2020-03-28
14,0,4,163,2020-03-29
15,0,30,148,2020-03-30
9,0,3,154,2020-03-31
6,0,5,155,2020-04-01
15,0,12,158,2020-04-02
4,0,10,152,2020-04-03
3,0,5,150,2020-04-04
1,0,0,151,2020-04-05
4,0,5,150,2020-04-06
4,0,28,126,2020-04-07
2,0,3,125,2020-04-08
4,0,2,127,2020-04-09
2,0,16,113,2020-04-10
1,0,0,114,2020-04-11
4,0,0,118,2020-04-12
3,0,2,119,2020-04-13
1,0,23,97,2020-04-14
1,0,2,96,2020-04-15
1,0,6,91,2020-04-16
0,0,21,70,2020-04-17
0,0,3,67,2020-04-18
0,0,1,66,2020-04-19
0,0,12,54,2020-04-20
0,0,2,52,2020-04-21
0,0,7,45,2020-04-22
0,0,1,44,2020-04-23
2,0,-4,50,2020-04-24
0,0,5,45,2020-04-25
0,0,0,45,2020-04-26
0,0,0,45,2020-04-27
0,0,-3,48,2020-04-28
0,0,0,48,2020-04-29
0,0,-3,51,2020-04-30
0,0,0,51,2020-05-01
0,0,0,51,2020-05-02
1,0,0,52,2020-05-03
0,0,0,52,2020-05-04
0,0,13,39,2020-05-05
0,0,0,39,2020-05-06
17,0,1,55,2020-05-07
0,0,8,47,2020-05-08
0,0,0,47,2020-05-09
0,0,0,47,2020-05-10
0,0,8,39,2020-05-11
0,0,3,36,2020-05-12
0,0,0,36,2020-05-13
24,0,8,52,2020-05-14
2,0,0,54,2020-05-15
4,0,0,58,2020-05-16
2,0,0,60,2020-05-17
4,0,3,61,2020-05-18
0,0,0,61,2020-05-19
0,0,0,61,2020-05-20
0,0,3,58,2020-05-21
0,0,1,57,2020-05-22
1,0,0,58,2020-05-23
0,0,0,58,2020-05-24
1,0,5,54,2020-05-25
1,0,0,55,2020-05-26
0,0,6,49,2020-05-27
0,0,0,49,2020-05-28
1,0,1,49,2020-05-29
0,0,0,49,2020-05-30
0,0,0,49,2020-05-31
0,0,14,35,2020-06-01
0,0,5,30,2020-06-02
0,0,4,26,2020-06-03
0,0,0,26,2020-06-04
0,0,5,21,2020-06-05
1,0,0,22,2020-06-06
2,0,0,24,2020-06-07
1,0,9,16,2020-06-08
0,0,0,16,2020-06-09
0,0,4,12,2020-06-10
0,0,1,11,2020-06-11
1,0,2,10,2020-06-12
1,0,0,11,2020-06-13
0,0,0,11,2020-06-14
0,0,0,11,2020-06-15
0,0,2,9,2020-06-16
1,0,0,10,2020-06-17
7,0,0,17,2020-06-18
7,0,1,23,2020-06-19
0,0,1,22,2020-06-20
0,0,0,22,2020-06-21
0,0,1,21,2020-06-22
0,0,1,20,2020-06-23
3,0,0,23,2020-06-24
0,0,0,23,2020-06-25
1,0,1,23,2020-06-26
2,0,0,25,2020-06-27
0,0,0,25,2020-06-28
0,0,5,20,2020-06-29
0,0,0,20,2020-06-30
0,0,1,19,2020-07-01
0,0,4,15,2020-07-02
0,0,0,15,2020-07-03
0,0,0,15,2020-07-04
0,0,0,15,2020-07-05
14,0,1,28,2020-07-06
0,0,1,27,2020-07-07
0,0,5,22,2020-07-08
0,0,0,22,2020-07-09
1,0,3,20,2020-07-10
0,0,0,20,2020-07-11
2,0,0,22,2020-07-12
1,0,2,21,2020-07-13
0,0,0,21,2020-07-14
8,0,1,28,2020-07-15
0,0,3,25,2020-07-16
1,0,0,26,2020-07-17
0,0,1,25,2020-07-18
1,0,0,26,2020-07-19
1,0,3,24,2020-07-20
17,0,5,36,2020-07-21
7,0,0,43,2020-07-22
4,0,0,47,2020-07-23
3,0,0,50,2020-07-24
2,0,0,52,2020-07-25
3,0,0,55,2020-07-26
11,0,0,66,2020-07-27
15,0,4,77,2020-07-28
13,0,0,90,2020-07-29
50,0,4,136,2020-07-30
49,3,0,182,2020-07-31
32,0,0,214,2020-08-01
31,3,0,242,2020-08-02
31,1,1,271,2020-08-03
20,1,4,286,2020-08-04
45,1,3,327,2020-08-05
33,1,11,348,2020-08-06
39,0,3,384,2020-08-07
23,0,0,407,2020-08-08
29,3,0,433,2020-08-09
6,2,4,433,2020-08-10
19,1,52,399,2020-08-11
17,2,-42,456,2020-08-12
28,3,16,465,2020-08-13
19,1,12,471,2020-08-14
21,2,10,480,2020-08-15
13,0,9,484,2020-08-16
19,1,11,491,2020-08-17
6,1,59,437,2020-08-18
5,-1,7,436,2020-08-19
13,0,9,440,2020-08-20
2,0,3,439,2020-08-21
5,1,18,425,2020-08-22
2,1,5,421,2020-08-23
6,0,19,408,2020-08-24
7,0,5,410,2020-08-25
5,3,40,372,2020-08-26
2,0,5,369,2020-08-27
2,0,26,345,2020-08-28
