Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
1,0,0,1,2020-02-26
0,0,0,1,2020-02-27
0,0,0,1,2020-02-28
0,0,0,1,2020-02-29
2,0,0,3,2020-03-01
0,0,0,3,2020-03-02
0,0,0,3,2020-03-03
0,0,0,3,2020-03-04
1,0,0,4,2020-03-05
0,0,0,4,2020-03-06
0,0,0,4,2020-03-07
9,0,0,13,2020-03-08
2,0,0,15,2020-03-09
0,0,0,15,2020-03-10
9,0,0,24,2020-03-11
0,0,0,24,2020-03-12
1,0,0,25,2020-03-13
5,0,0,30,2020-03-14
3,0,0,33,2020-03-15
0,0,1,32,2020-03-16
1,0,0,33,2020-03-17
4,0,0,37,2020-03-18
2,0,0,39,2020-03-19
3,0,0,42,2020-03-20
6,0,0,48,2020-03-21
5,0,2,51,2020-03-22
7,0,0,58,2020-03-23
9,0,6,61,2020-03-24
5,0,1,65,2020-03-25
4,0,1,68,2020-03-26
4,0,3,69,2020-03-27
7,0,0,76,2020-03-28
1,0,4,73,2020-03-29
12,0,2,83,2020-03-30
7,0,1,89,2020-03-31
7,0,2,94,2020-04-01
17,0,3,108,2020-04-02
21,0,2,127,2020-04-03
7,1,8,125,2020-04-04
12,1,0,136,2020-04-05
14,0,3,147,2020-04-06
8,1,7,147,2020-04-07
15,0,4,158,2020-04-08
7,0,1,164,2020-04-09
16,0,3,177,2020-04-10
8,0,6,179,2020-04-11
15,0,7,187,2020-04-12
15,0,1,201,2020-04-13
28,0,1,228,2020-04-14
6,0,2,232,2020-04-15
42,0,5,269,2020-04-16
22,0,3,288,2020-04-17
18,1,7,298,2020-04-18
6,0,7,297,2020-04-19
8,0,2,303,2020-04-20
6,0,2,307,2020-04-21
8,1,10,304,2020-04-22
9,0,4,309,2020-04-23
19,0,21,307,2020-04-24
12,0,7,312,2020-04-25
30,1,10,331,2020-04-26
11,0,7,335,2020-04-27
14,0,12,337,2020-04-28
6,0,10,333,2020-04-29
22,0,6,349,2020-04-30
27,1,23,352,2020-05-01
16,1,0,367,2020-05-02
7,1,16,357,2020-05-03
4,0,0,361,2020-05-04
11,0,17,355,2020-05-05
6,0,29,332,2020-05-06
5,0,6,331,2020-05-07
8,1,13,325,2020-05-08
3,0,9,319,2020-05-09
9,0,12,316,2020-05-10
3,1,8,310,2020-05-11
4,0,32,282,2020-05-12
5,0,23,264,2020-05-13
20,1,11,272,2020-05-14
4,0,10,266,2020-05-15
12,0,26,252,2020-05-16
12,0,6,258,2020-05-17
6,0,7,257,2020-05-18
6,0,24,239,2020-05-19
6,0,19,226,2020-05-20
8,0,10,224,2020-05-21
2,0,10,216,2020-05-22
5,0,14,207,2020-05-23
2,0,13,196,2020-05-24
1,0,4,193,2020-05-25
1,0,11,183,2020-05-26
3,0,20,166,2020-05-27
3,0,16,153,2020-05-28
8,0,3,158,2020-05-29
11,0,24,145,2020-05-30
26,0,5,166,2020-05-31
11,0,19,158,2020-06-01
2,1,10,149,2020-06-02
4,0,6,147,2020-06-03
1,0,4,144,2020-06-04
4,0,6,142,2020-06-05
3,0,13,132,2020-06-06
1,0,11,122,2020-06-07
3,0,9,116,2020-06-08
6,0,3,119,2020-06-09
9,0,4,124,2020-06-10
4,0,4,124,2020-06-11
