Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
1,0,0,1,2020-02-21
0,0,0,1,2020-02-22
0,0,0,1,2020-02-23
0,0,0,1,2020-02-24
0,0,0,1,2020-02-25
1,0,0,2,2020-02-26
1,0,1,2,2020-02-27
1,0,0,3,2020-02-28
3,0,0,6,2020-02-29
3,0,0,9,2020-03-01
0,0,0,9,2020-03-02
2,0,0,11,2020-03-03
3,0,0,14,2020-03-04
5,0,0,19,2020-03-05
17,0,1,35,2020-03-06
6,0,0,41,2020-03-07
18,0,0,59,2020-03-08
0,0,0,59,2020-03-09
14,0,2,71,2020-03-10
4,0,0,75,2020-03-11
21,0,0,96,2020-03-12
26,0,0,122,2020-03-13
29,0,0,151,2020-03-14
58,0,0,209,2020-03-15
5,0,0,214,2020-03-16
32,0,7,239,2020-03-17
54,0,0,293,2020-03-18
123,0,0,416,2020-03-19
102,0,3,515,2020-03-20
183,1,22,675,2020-03-21
171,0,1,845,2020-03-22
188,0,0,1033,2020-03-23
167,2,16,1182,2020-03-24
1131,2,5,2306,2020-03-25
324,3,10,2617,2020-03-26
342,4,11,2944,2020-03-27
584,0,10,3518,2020-03-28
628,3,43,4100,2020-03-29
448,1,29,4518,2020-03-30
663,4,63,5114,2020-03-31
734,6,17,5825,2020-04-01
765,10,97,6483,2020-04-02
571,4,65,6985,2020-04-03
423,4,24,7380,2020-04-04
579,5,50,7904,2020-04-05
474,8,108,8262,2020-04-06
344,8,185,8413,2020-04-07
156,8,31,8530,2020-04-08
564,13,210,8871,2020-04-09
440,9,172,9130,2020-04-10
335,6,158,9301,2020-04-11
402,2,286,9415,2020-04-12
441,13,228,9615,2020-04-13
460,7,340,9728,2020-04-14
455,7,368,9808,2020-04-15
257,12,255,9798,2020-04-16
224,9,308,9705,2020-04-17
283,13,330,9645,2020-04-18
226,8,298,9565,2020-04-19
222,5,295,9487,2020-04-20
229,7,458,9251,2020-04-21
556,5,708,9094,2020-04-22
305,3,396,9000,2020-04-23
255,2,392,8861,2020-04-24
240,5,432,8664,2020-04-25
145,2,296,8511,2020-04-26
112,3,469,8151,2020-04-27
173,6,546,7772,2020-04-28
106,5,487,7386,2020-04-29
112,7,328,7163,2020-04-30
155,3,595,6720,2020-05-01
84,4,437,6363,2020-05-02
23,3,156,6227,2020-05-03
38,3,315,5947,2020-05-04
43,3,401,5586,2020-05-05
21,1,172,5434,2020-05-06
71,1,236,5268,2020-05-07
55,5,356,4962,2020-05-08
18,2,147,4831,2020-05-09
23,5,54,4795,2020-05-10
29,6,413,4405,2020-05-11
23,2,240,4186,2020-05-12
19,4,149,4052,2020-05-13
31,1,289,3793,2020-05-14
10,1,66,3736,2020-05-15
19,2,268,3485,2020-05-16
9,4,87,3403,2020-05-17
26,4,311,3114,2020-05-18
16,2,182,2946,2020-05-19
8,1,69,2884,2020-05-20
16,0,220,2680,2020-05-21
7,0,191,2496,2020-05-22
22,0,175,2343,2020-05-23
5,0,63,2285,2020-05-24
17,2,154,2146,2020-05-25
23,0,150,2019,2020-05-26
36,0,113,1942,2020-05-27
79,3,109,1909,2020-05-28
115,0,97,1927,2020-05-29
25,0,35,1917,2020-05-30
59,1,1,1974,2020-05-31
98,0,66,2006,2020-06-01
116,5,62,2055,2020-06-02
92,1,43,2103,2020-06-03
118,0,30,2191,2020-06-04
67,0,13,2245,2020-06-05
190,4,16,2415,2020-06-06
