Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
1,0,0,1,2020-01-27
0,0,0,1,2020-01-28
0,0,0,1,2020-01-29
0,0,0,1,2020-01-30
0,0,0,1,2020-01-31
0,0,0,1,2020-02-01
0,0,0,1,2020-02-02
0,0,0,1,2020-02-03
0,0,0,1,2020-02-04
0,0,0,1,2020-02-05
0,0,0,1,2020-02-06
0,0,0,1,2020-02-07
0,0,1,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
1,0,0,1,2020-03-11
0,0,0,1,2020-03-12
4,0,0,5,2020-03-13
4,0,0,9,2020-03-14
8,0,0,17,2020-03-15
10,0,0,27,2020-03-16
16,0,0,43,2020-03-17
7,0,0,50,2020-03-18
9,0,2,57,2020-03-19
13,0,0,70,2020-03-20
4,0,-2,76,2020-03-21
5,0,2,79,2020-03-22
15,0,0,94,2020-03-23
5,0,-1,100,2020-03-24
0,0,1,99,2020-03-25
4,0,4,99,2020-03-26
0,0,0,99,2020-03-27
7,1,2,103,2020-03-28
4,0,2,105,2020-03-29
5,1,4,105,2020-03-30
21,0,2,124,2020-03-31
3,1,4,122,2020-04-01
5,1,0,126,2020-04-02
8,0,3,131,2020-04-03
7,1,3,134,2020-04-04
10,0,6,138,2020-04-05
2,0,5,135,2020-04-06
7,1,4,137,2020-04-07
4,1,2,138,2020-04-08
1,0,5,134,2020-04-09
0,0,5,129,2020-04-10
8,0,0,137,2020-04-11
12,0,2,147,2020-04-12
7,0,0,154,2020-04-13
16,0,5,165,2020-04-14
5,0,2,168,2020-04-15
0,0,5,163,2020-04-16
6,0,9,160,2020-04-17
10,0,9,161,2020-04-18
17,0,10,168,2020-04-19
33,0,2,199,2020-04-20
6,0,4,201,2020-04-21
20,0,3,218,2020-04-22
38,0,2,254,2020-04-23
52,0,2,304,2020-04-24
40,0,9,335,2020-04-25
63,0,2,396,2020-04-26
65,0,6,455,2020-04-27
31,0,8,478,2020-04-28
30,0,2,506,2020-04-29
14,0,18,502,2020-04-30
27,0,8,521,2020-05-01
15,0,10,526,2020-05-02
13,0,12,527,2020-05-03
33,1,10,549,2020-05-04
20,1,19,549,2020-05-05
26,0,2,573,2020-05-06
27,0,17,583,2020-05-07
11,0,8,586,2020-05-08
12,0,20,578,2020-05-09
16,0,61,533,2020-05-10
6,0,22,517,2020-05-11
20,0,23,514,2020-05-12
26,0,16,524,2020-05-13
10,0,63,471,2020-05-14
10,0,32,449,2020-05-15
25,0,43,431,2020-05-16
21,0,18,434,2020-05-17
11,0,21,424,2020-05-18
35,0,10,449,2020-05-19
1,0,15,435,2020-05-20
27,0,20,442,2020-05-21
13,0,16,439,2020-05-22
21,0,40,420,2020-05-23
52,0,14,458,2020-05-24
41,1,21,477,2020-05-25
137,0,17,597,2020-05-26
150,0,20,727,2020-05-27
61,0,13,775,2020-05-28
28,0,9,794,2020-05-29
62,0,27,829,2020-05-30
13,0,20,822,2020-05-31
10,1,10,821,2020-06-01
40,0,12,849,2020-06-02
66,0,13,902,2020-06-03
48,0,3,947,2020-06-04
4,0,19,932,2020-06-05
13,0,33,912,2020-06-06
21,0,50,883,2020-06-07
22,0,49,856,2020-06-08
2,0,67,791,2020-06-09
10,0,65,736,2020-06-10
8,0,28,716,2020-06-11
