Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
3,0,0,3,2020-03-07
0,0,0,3,2020-03-08
0,0,0,3,2020-03-09
2,0,0,5,2020-03-10
1,0,0,6,2020-03-11
0,0,0,6,2020-03-12
6,0,1,11,2020-03-13
6,0,0,17,2020-03-14
3,0,0,20,2020-03-15
9,0,1,28,2020-03-16
8,0,0,36,2020-03-17
0,0,0,36,2020-03-18
15,0,0,51,2020-03-19
11,0,0,62,2020-03-20
9,0,0,71,2020-03-21
17,0,0,88,2020-03-22
17,0,0,105,2020-03-23
3,0,0,108,2020-03-24
19,0,0,127,2020-03-25
5,0,0,132,2020-03-26
5,0,0,137,2020-03-27
10,0,0,147,2020-03-28
2,0,0,149,2020-03-29
5,0,0,154,2020-03-30
13,0,0,167,2020-03-31
19,0,0,186,2020-04-01
8,0,0,194,2020-04-02
6,0,0,200,2020-04-03
11,0,0,211,2020-04-04
14,0,3,222,2020-04-05
14,0,0,236,2020-04-06
52,0,0,288,2020-04-07
6,1,11,282,2020-04-08
38,1,0,319,2020-04-09
13,0,0,332,2020-04-10
20,1,0,351,2020-04-11
8,0,28,331,2020-04-12
6,0,0,337,2020-04-13
9,0,0,346,2020-04-14
6,0,0,352,2020-04-15
13,0,38,327,2020-04-16
10,0,9,328,2020-04-17
4,0,8,324,2020-04-18
1,0,19,306,2020-04-19
4,0,8,302,2020-04-20
12,0,24,290,2020-04-21
1,0,15,276,2020-04-22
1,0,39,238,2020-04-23
2,0,19,221,2020-04-24
1,1,26,195,2020-04-25
0,0,33,162,2020-04-26
2,0,4,160,2020-04-27
8,0,17,151,2020-04-28
5,0,36,120,2020-04-29
2,0,12,110,2020-04-30
2,0,32,80,2020-05-01
1,0,-4,85,2020-05-02
9,0,13,81,2020-05-03
3,0,7,77,2020-05-04
2,1,4,74,2020-05-05
2,0,4,72,2020-05-06
2,0,6,68,2020-05-07
3,0,6,65,2020-05-08
1,0,8,58,2020-05-09
6,0,6,58,2020-05-10
7,0,1,64,2020-05-11
3,0,0,67,2020-05-12
2,1,2,66,2020-05-13
14,0,7,73,2020-05-14
10,0,15,68,2020-05-15
14,0,-8,90,2020-05-16
7,0,4,93,2020-05-17
5,0,2,96,2020-05-18
11,0,4,103,2020-05-19
15,0,5,113,2020-05-20
15,0,3,125,2020-05-21
1,0,1,125,2020-05-22
9,0,4,130,2020-05-23
1,0,3,128,2020-05-24
1,0,9,120,2020-05-25
0,0,0,120,2020-05-26
1,1,6,114,2020-05-27
4,0,10,108,2020-05-28
0,2,13,93,2020-05-29
2,0,11,84,2020-05-30
0,0,9,75,2020-05-31
1,0,3,73,2020-06-01
1,0,17,57,2020-06-02
2,0,8,51,2020-06-03
0,0,14,37,2020-06-04
3,0,7,33,2020-06-05
2,0,13,22,2020-06-06
2,0,0,24,2020-06-07
1,0,0,25,2020-06-08
2,0,1,26,2020-06-09
3,0,0,29,2020-06-10
5,0,3,31,2020-06-11
