Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
1,0,0,1,2020-02-29
0,0,0,1,2020-03-01
0,0,0,1,2020-03-02
1,0,0,2,2020-03-03
4,0,0,6,2020-03-04
0,0,0,6,2020-03-05
12,0,0,18,2020-03-06
0,0,0,18,2020-03-07
1,0,0,19,2020-03-08
2,0,0,21,2020-03-09
13,0,0,34,2020-03-10
9,1,0,42,2020-03-11
0,0,0,42,2020-03-12
47,0,0,89,2020-03-13
39,1,0,127,2020-03-14
0,0,0,127,2020-03-15
40,0,0,167,2020-03-16
54,0,5,216,2020-03-17
69,0,0,285,2020-03-18
265,1,0,549,2020-03-19
126,0,0,675,2020-03-20
102,0,0,777,2020-03-21
121,1,0,897,2020-03-22
219,2,0,1114,2020-03-23
204,1,0,1317,2020-03-24
235,2,0,1550,2020-03-25
255,10,0,1795,2020-03-26
302,3,0,2094,2020-03-27
294,14,0,2374,2020-03-28
200,10,0,2564,2020-03-29
295,8,0,2851,2020-03-30
325,17,0,3159,2020-03-31
212,14,0,3357,2020-04-01
402,13,0,3746,2020-04-02
424,22,0,4148,2020-04-03
331,17,20,4442,2020-04-04
390,21,0,4811,2020-04-05
370,16,0,5165,2020-04-06
345,36,0,5474,2020-04-07
365,25,0,5814,2020-04-08
500,28,0,6286,2020-04-09
1515,24,0,7777,2020-04-10
839,33,0,8583,2020-04-11
727,14,0,9296,2020-04-12
992,31,0,10257,2020-04-13
832,41,0,11048,2020-04-14
1068,38,52,12026,2020-04-15
724,42,0,12708,2020-04-16
709,44,0,13373,2020-04-17
778,41,0,14110,2020-04-18
493,39,0,14564,2020-04-19
401,77,0,14888,2020-04-20
388,43,9156,6077,2020-04-21
631,39,0,6669,2020-04-22
936,25,0,7580,2020-04-23
577,220,0,7937,2020-04-24
377,49,0,8265,2020-04-25
701,24,0,8942,2020-04-26
386,15,0,9313,2020-04-27
229,57,0,9485,2020-04-28
376,31,4153,5677,2020-04-29
359,42,0,5994,2020-04-30
221,33,0,6182,2020-05-01
343,21,0,6504,2020-05-02
330,17,0,6817,2020-05-03
266,16,0,7067,2020-05-04
211,20,0,7258,2020-05-05
265,36,3724,3763,2020-05-06
137,28,0,3872,2020-05-07
156,26,0,4002,2020-05-08
219,17,0,4204,2020-05-09
236,12,0,4428,2020-05-10
139,9,0,4558,2020-05-11
107,21,0,4644,2020-05-12
159,9,2360,2434,2020-05-13
426,9,0,2851,2020-05-14
129,12,0,2968,2020-05-15
92,15,0,3045,2020-05-16
64,10,0,3099,2020-05-17
88,4,0,3183,2020-05-18
51,14,0,3220,2020-05-19
64,10,1590,1684,2020-05-20
76,12,0,1748,2020-05-21
115,9,0,1854,2020-05-22
76,12,0,1918,2020-05-23
57,4,0,1971,2020-05-24
59,-2,0,2032,2020-05-25
37,9,0,2060,2020-05-26
68,16,1029,1083,2020-05-27
38,8,0,1113,2020-05-28
35,6,0,1142,2020-05-29
53,6,0,1189,2020-05-30
61,1,0,1249,2020-05-31
72,-2,0,1323,2020-06-01
4,8,0,1319,2020-06-02
45,1,609,754,2020-06-03
31,5,0,780,2020-06-04
21,6,0,795,2020-06-05
