Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
1,0,0,1,2020-03-19
0,0,0,1,2020-03-20
2,0,0,3,2020-03-21
0,0,0,3,2020-03-22
0,0,0,3,2020-03-23
2,0,0,5,2020-03-24
4,0,0,9,2020-03-25
4,0,0,13,2020-03-26
0,0,0,13,2020-03-27
6,0,0,19,2020-03-28
5,0,0,24,2020-03-29
6,0,0,30,2020-03-30
2,1,0,31,2020-03-31
0,0,0,31,2020-04-01
9,1,0,39,2020-04-02
5,0,0,44,2020-04-03
10,1,2,51,2020-04-04
6,0,0,57,2020-04-05
7,1,3,60,2020-04-06
9,0,0,69,2020-04-07
15,1,4,79,2020-04-08
10,1,5,83,2020-04-09
14,0,1,96,2020-04-10
1,0,4,93,2020-04-11
7,0,2,98,2020-04-12
12,0,1,109,2020-04-13
12,0,3,118,2020-04-14
10,0,5,123,2020-04-15
5,0,3,125,2020-04-16
13,1,5,132,2020-04-17
13,0,5,140,2020-04-18
11,0,1,150,2020-04-19
17,0,2,165,2020-04-20
7,0,2,170,2020-04-21
12,0,15,167,2020-04-22
13,1,4,175,2020-04-23
24,0,8,191,2020-04-24
0,0,0,191,2020-04-25
24,0,8,207,2020-04-26
25,0,6,226,2020-04-27
22,0,8,240,2020-04-28
32,1,9,262,2020-04-29
18,1,13,266,2020-04-30
29,0,5,290,2020-05-01
22,1,17,294,2020-05-02
44,0,13,325,2020-05-03
65,2,26,362,2020-05-04
32,1,25,368,2020-05-05
46,1,14,399,2020-05-06
62,0,33,428,2020-05-07
47,1,5,469,2020-05-08
42,1,19,491,2020-05-09
105,0,17,579,2020-05-10
69,1,32,615,2020-05-11
40,2,24,629,2020-05-12
39,0,25,643,2020-05-13
75,3,31,684,2020-05-14
98,2,12,768,2020-05-15
55,1,24,798,2020-05-16
73,4,23,844,2020-05-17
75,0,10,909,2020-05-18
85,0,28,966,2020-05-19
73,1,35,1003,2020-05-20
69,2,7,1063,2020-05-21
85,0,26,1122,2020-05-22
94,0,0,1216,2020-05-23
96,2,63,1247,2020-05-24
68,0,139,1176,2020-05-25
59,1,15,1219,2020-05-26
67,3,104,1179,2020-05-27
85,0,111,1153,2020-05-28
84,3,13,1221,2020-05-29
117,4,16,1318,2020-05-30
122,0,9,1431,2020-05-31
65,0,23,1473,2020-06-01
71,3,97,1444,2020-06-02
52,2,26,1468,2020-06-03
76,1,28,1515,2020-06-04
68,1,35,1547,2020-06-05
85,0,32,1600,2020-06-06
81,0,24,1657,2020-06-07
89,3,74,1669,2020-06-08
87,4,40,1712,2020-06-09
