Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
1,0,0,1,2020-03-13
0,0,0,1,2020-03-14
0,0,0,1,2020-03-15
4,0,0,5,2020-03-16
0,0,0,5,2020-03-17
1,0,0,6,2020-03-18
0,0,0,6,2020-03-19
3,0,0,9,2020-03-20
0,0,0,9,2020-03-21
2,0,4,7,2020-03-22
0,0,0,7,2020-03-23
1,0,-4,12,2020-03-24
0,0,0,12,2020-03-25
0,0,0,12,2020-03-26
4,0,0,16,2020-03-27
0,0,1,15,2020-03-28
5,0,0,20,2020-03-29
2,0,3,19,2020-03-30
3,0,-2,24,2020-03-31
3,0,0,27,2020-04-01
0,0,1,26,2020-04-02
6,0,0,32,2020-04-03
3,0,1,34,2020-04-04
5,2,0,37,2020-04-05
1,0,0,38,2020-04-06
8,0,0,46,2020-04-07
3,0,0,49,2020-04-08
1,0,0,50,2020-04-09
9,1,0,58,2020-04-10
4,0,6,56,2020-04-11
2,0,0,58,2020-04-12
3,0,4,57,2020-04-13
8,0,0,65,2020-04-14
3,0,1,67,2020-04-15
7,0,0,74,2020-04-16
4,0,0,78,2020-04-17
9,0,1,86,2020-04-18
3,0,0,89,2020-04-19
3,0,0,92,2020-04-20
3,0,0,95,2020-04-21
2,0,5,92,2020-04-22
0,0,0,92,2020-04-23
1,0,4,89,2020-04-24
5,0,4,90,2020-04-25
1,0,12,79,2020-04-26
1,0,9,71,2020-04-27
2,0,0,73,2020-04-28
4,0,8,69,2020-04-29
1,0,1,69,2020-04-30
2,0,7,64,2020-05-01
0,0,3,61,2020-05-02
2,0,6,57,2020-05-03
5,0,0,62,2020-05-04
5,1,16,50,2020-05-05
17,0,2,65,2020-05-06
29,0,0,94,2020-05-07
3,0,2,95,2020-05-08
16,1,2,108,2020-05-09
29,0,2,135,2020-05-10
11,0,6,140,2020-05-11
11,0,1,150,2020-05-12
2,0,2,150,2020-05-13
9,0,0,159,2020-05-14
15,0,4,170,2020-05-15
19,0,1,188,2020-05-16
11,0,0,199,2020-05-17
35,0,3,231,2020-05-18
13,0,4,240,2020-05-19
24,0,2,262,2020-05-20
10,0,1,271,2020-05-21
34,0,5,300,2020-05-22
61,0,23,338,2020-05-23
88,0,1,425,2020-05-24
73,0,7,491,2020-05-25
46,1,8,528,2020-05-26
30,0,14,544,2020-05-27
100,1,10,633,2020-05-28
137,1,6,763,2020-05-29
95,0,11,847,2020-05-30
109,3,1,952,2020-05-31
85,1,8,1028,2020-06-01
87,2,14,1099,2020-06-02
142,3,15,1223,2020-06-03
150,1,4,1368,2020-06-04
169,1,12,1524,2020-06-05
129,1,19,1633,2020-06-06
86,7,63,1649,2020-06-07
136,0,17,1768,2020-06-08
180,5,18,1925,2020-06-09
170,3,22,2070,2020-06-10
