Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
1,0,0,1,2020-03-20
2,0,0,3,2020-03-21
0,0,0,3,2020-03-22
0,0,0,3,2020-03-23
0,1,0,2,2020-03-24
1,0,0,3,2020-03-25
0,0,0,3,2020-03-26
1,0,0,4,2020-03-27
0,0,0,4,2020-03-28
1,0,0,5,2020-03-29
0,0,0,5,2020-03-30
0,0,0,5,2020-03-31
0,0,0,5,2020-04-01
0,0,0,5,2020-04-02
0,0,0,5,2020-04-03
1,0,0,6,2020-04-04
0,0,0,6,2020-04-05
0,0,1,5,2020-04-06
0,0,0,5,2020-04-07
0,0,0,5,2020-04-08
0,0,0,5,2020-04-09
0,0,0,5,2020-04-10
1,0,0,6,2020-04-11
0,0,0,6,2020-04-12
2,0,0,8,2020-04-13
1,0,0,9,2020-04-14
45,0,0,54,2020-04-15
0,0,0,54,2020-04-16
0,0,0,54,2020-04-17
2,0,0,56,2020-04-18
3,0,0,59,2020-04-19
6,0,0,65,2020-04-20
1,0,0,66,2020-04-21
5,0,0,71,2020-04-22
9,0,0,80,2020-04-23
6,0,0,86,2020-04-24
2,0,0,88,2020-04-25
16,0,0,104,2020-04-26
3,0,0,107,2020-04-27
5,0,1,111,2020-04-28
0,0,0,111,2020-04-29
7,0,2,116,2020-04-30
1,0,14,103,2020-05-01
30,1,0,132,2020-05-02
13,0,15,130,2020-05-03
10,0,4,136,2020-05-04
11,0,0,147,2020-05-05
5,0,1,151,2020-05-06
27,0,0,178,2020-05-07
12,0,6,184,2020-05-08
6,0,12,178,2020-05-09
10,0,0,188,2020-05-10
14,0,2,200,2020-05-11
7,0,0,207,2020-05-12
22,0,3,226,2020-05-13
26,0,6,246,2020-05-14
11,0,0,257,2020-05-15
2,1,17,241,2020-05-16
0,0,0,241,2020-05-17
0,0,1,240,2020-05-18
7,0,0,247,2020-05-19
14,0,0,261,2020-05-20
7,0,10,258,2020-05-21
6,0,0,264,2020-05-22
9,0,47,226,2020-05-23
9,0,13,222,2020-05-24
10,0,0,232,2020-05-25
0,1,0,231,2020-05-26
0,0,0,231,2020-05-27
0,0,0,231,2020-05-28
15,0,0,246,2020-05-29
16,0,12,250,2020-05-30
14,0,26,238,2020-05-31
23,0,0,261,2020-06-01
8,1,44,224,2020-06-02
11,0,1,234,2020-06-03
25,0,1,258,2020-06-04
34,0,0,292,2020-06-05
6,0,1,297,2020-06-06
12,0,0,309,2020-06-07
13,0,26,296,2020-06-08
18,0,4,310,2020-06-09
30,0,24,316,2020-06-10
42,1,0,357,2020-06-11
