Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
1,0,0,1,2020-01-26
0,0,0,1,2020-01-27
1,0,0,2,2020-01-28
0,0,0,2,2020-01-29
0,0,0,2,2020-01-30
2,0,0,4,2020-01-31
0,0,0,4,2020-02-01
0,0,0,4,2020-02-02
0,0,0,4,2020-02-03
0,0,0,4,2020-02-04
1,0,0,5,2020-02-05
0,0,0,5,2020-02-06
2,0,0,7,2020-02-07
0,0,0,7,2020-02-08
0,0,0,7,2020-02-09
0,0,0,7,2020-02-10
0,0,0,7,2020-02-11
0,0,2,5,2020-02-12
0,0,0,5,2020-02-13
0,0,0,5,2020-02-14
0,0,0,5,2020-02-15
0,0,0,5,2020-02-16
1,0,0,6,2020-02-17
0,0,0,6,2020-02-18
0,0,-1,7,2020-02-19
0,0,1,6,2020-02-20
1,0,4,3,2020-02-21
0,0,0,3,2020-02-22
0,0,0,3,2020-02-23
1,0,0,4,2020-02-24
1,0,0,5,2020-02-25
0,0,0,5,2020-02-26
2,0,6,1,2020-02-27
1,0,0,2,2020-02-28
6,0,0,8,2020-02-29
4,0,0,12,2020-03-01
3,0,-6,21,2020-03-02
3,0,0,24,2020-03-03
3,0,6,21,2020-03-04
4,0,0,25,2020-03-05
12,0,0,37,2020-03-06
5,0,4,38,2020-03-07
10,0,0,48,2020-03-08
13,1,0,60,2020-03-09
2,0,0,62,2020-03-10
29,0,0,91,2020-03-11
9,0,0,100,2020-03-12
76,0,0,176,2020-03-13
5,0,0,181,2020-03-14
54,0,-8,243,2020-03-15
163,3,10,393,2020-03-16
63,1,0,455,2020-03-17
179,3,-9,640,2020-03-18
143,1,9,773,2020-03-19
143,3,0,913,2020-03-20
334,7,2,1238,2020-03-21
192,1,0,1429,2020-03-22
619,4,0,2044,2020-03-23
702,1,200,2545,2020-03-24
461,4,146,2856,2020-03-25
791,8,2,3637,2020-03-26
640,16,144,4117,2020-03-27
894,7,420,4584,2020-03-28
704,3,0,5285,2020-03-29
1118,16,0,6387,2020-03-30
1129,21,660,6835,2020-03-31
1033,8,1056,6804,2020-04-01
1724,30,822,7676,2020-04-02
1153,40,880,7909,2020-04-03
541,39,804,7607,2020-04-04
2778,41,870,9474,2020-04-05
807,80,488,9713,2020-04-06
1309,36,1070,9916,2020-04-07
1269,32,726,10427,2020-04-08
1513,96,2016,9828,2020-04-09
1405,54,1386,9793,2020-04-10
1257,97,1468,9485,2020-04-11
983,60,1068,9340,2020-04-12
1381,67,1270,9384,2020-04-13
1355,120,904,9715,2020-04-14
1174,107,1512,9270,2020-04-15
2600,251,1464,10155,2020-04-16
2005,97,1694,10369,2020-04-17
1542,45,838,11028,2020-04-18
1277,164,1766,10375,2020-04-19
2025,162,1392,10846,2020-04-20
1744,183,1290,11117,2020-04-21
2261,168,2532,10678,2020-04-22
1636,163,-14147,26298,2020-04-23
1620,161,15537,12220,2020-04-24
1452,169,1728,11775,2020-04-25
1662,116,1740,11581,2020-04-26
1583,154,2770,10240,2020-04-27
1534,142,1926,9706,2020-04-28
1715,172,2192,9057,2020-04-29
1592,155,2194,8300,2020-04-30
1885,227,2680,7278,2020-05-01
1583,147,2100,6614,2020-05-02
2578,111,-22707,31788,2020-05-03
1453,208,27139,5894,2020-05-04
1258,187,1952,5013,2020-05-05
1479,176,2356,3960,2020-05-06
1507,175,2152,3140,2020-05-07
1473,156,1958,2499,2020-05-08
1244,126,2046,1571,2020-05-09
1173,168,1694,882,2020-05-10
1173,124,1796,135,2020-05-11
1155,185,-31959,33064,2020-05-12
1149,125,36299,0,2020-05-13
1213,167,1854,0,2020-05-14
1178,87,1608,0,2020-05-15
1247,121,1848,0,2020-05-16
1126,103,1462,0,2020-05-17
1079,57,1376,0,2020-05-18
1082,68,1636,0,2020-05-19
1082,122,1448,0,2020-05-20
1167,117,1876,0,2020-05-21
1205,93,1754,0,2020-05-22
1204,106,1420,0,2020-05-23
955,68,1360,0,2020-05-24
1013,121,1306,0,2020-05-25
971,98,1402,0,2020-05-26
899,123,-44456,35865,2020-05-27
987,106,47674,0,2020-05-28
933,81,1888,0,2020-05-29
772,96,1224,0,2020-05-30
798,215,1392,0,2020-05-31
