Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
1,0,0,1,2020-02-26
0,0,0,1,2020-02-27
2,0,0,3,2020-02-28
0,0,0,3,2020-02-29
0,0,0,3,2020-03-01
0,0,0,3,2020-03-02
0,0,0,3,2020-03-03
1,0,1,3,2020-03-04
2,0,0,5,2020-03-05
3,0,0,8,2020-03-06
0,0,2,6,2020-03-07
6,0,0,12,2020-03-08
0,0,0,12,2020-03-09
10,0,0,22,2020-03-10
20,0,3,39,2020-03-11
4,0,0,43,2020-03-12
40,0,1,82,2020-03-13
34,0,2,114,2020-03-14
8,0,0,122,2020-03-15
27,0,0,149,2020-03-16
26,0,7,168,2020-03-17
76,0,3,241,2020-03-18
17,0,6,252,2020-03-19
31,0,0,283,2020-03-20
59,0,27,315,2020-03-21
66,3,12,366,2020-03-22
143,4,0,505,2020-03-23
218,4,15,704,2020-03-24
112,6,7,803,2020-03-25
123,6,8,912,2020-03-26
263,3,21,1151,2020-03-27
160,11,24,1276,2020-03-28
363,6,67,1566,2020-03-29
294,22,3,1835,2020-03-30
136,17,11,1943,2020-03-31
215,10,32,2116,2020-04-01
278,23,15,2356,2020-04-02
445,18,16,2767,2020-04-03
430,13,46,3138,2020-04-04
251,5,45,3339,2020-04-05
193,25,32,3475,2020-04-06
360,21,54,3760,2020-04-07
344,23,68,4013,2020-04-08
441,28,119,4307,2020-04-09
265,22,82,4468,2020-04-10
523,21,29,4941,2020-04-11
310,25,94,5132,2020-04-12
333,15,62,5388,2020-04-13
246,20,137,5477,2020-04-14
337,21,166,5627,2020-04-15
491,20,140,5958,2020-04-16
360,19,151,6148,2020-04-17
351,10,222,6267,2020-04-18
328,30,162,6403,2020-04-19
190,27,125,6441,2020-04-20
306,20,136,6591,2020-04-21
468,26,253,6780,2020-04-22
386,21,72,7073,2020-04-23
321,22,339,7033,2020-04-24
218,34,73,7144,2020-04-25
401,18,164,7363,2020-04-26
303,22,87,7557,2020-04-27
277,22,263,7549,2020-04-28
362,30,165,7716,2020-04-29
262,24,448,7506,2020-04-30
327,27,311,7495,2020-05-01
165,27,219,7414,2020-05-02
431,19,322,7504,2020-05-03
349,28,400,7425,2020-05-04
325,23,185,7542,2020-05-05
270,23,334,7455,2020-05-06
392,24,356,7467,2020-05-07
312,35,279,7465,2020-05-08
320,16,489,7280,2020-05-09
231,22,139,7350,2020-05-10
226,21,194,7361,2020-05-11
190,20,440,7091,2020-05-12
224,34,276,7005,2020-05-13
245,17,1092,6141,2020-05-14
190,17,317,5997,2020-05-15
267,24,204,6036,2020-05-16
167,13,316,5874,2020-05-17
165,13,40,5986,2020-05-18
155,17,236,5888,2020-05-19
196,10,190,5884,2020-05-20
198,9,225,5848,2020-05-21
127,10,196,5769,2020-05-22
145,10,410,5494,2020-05-23
213,9,212,5486,2020-05-24
213,20,231,5448,2020-05-25
146,11,244,5339,2020-05-26
165,11,288,5205,2020-05-27
197,8,467,4927,2020-05-28
191,13,200,4905,2020-05-29
151,11,217,4828,2020-05-30
124,7,210,4735,2020-05-31
141,10,170,4696,2020-06-01
119,12,100,4703,2020-06-02
152,8,274,4573,2020-06-03
238,9,119,4683,2020-06-04
196,11,226,4642,2020-06-05
187,6,274,4549,2020-06-06
