Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
1,0,0,1,2020-03-01
0,0,0,1,2020-03-02
0,0,0,1,2020-03-03
0,0,0,1,2020-03-04
0,0,0,1,2020-03-05
0,0,0,1,2020-03-06
0,0,0,1,2020-03-07
0,0,0,1,2020-03-08
0,0,0,1,2020-03-09
0,0,0,1,2020-03-10
0,0,0,1,2020-03-11
3,0,0,4,2020-03-12
4,0,0,8,2020-03-13
10,0,0,18,2020-03-14
8,0,0,26,2020-03-15
26,0,0,52,2020-03-16
26,0,1,77,2020-03-17
6,0,0,83,2020-03-18
31,0,0,114,2020-03-19
21,0,0,135,2020-03-20
24,0,0,159,2020-03-21
34,0,1,192,2020-03-22
41,0,0,233,2020-03-23
14,0,12,235,2020-03-24
16,0,2,249,2020-03-25
25,1,2,271,2020-03-26
39,0,10,300,2020-03-27
78,0,2,376,2020-03-28
17,2,0,391,2020-03-29
58,0,0,449,2020-03-30
50,0,0,499,2020-03-31
39,1,1,536,2020-04-01
92,3,2,623,2020-04-02
73,0,10,686,2020-04-03
34,0,0,720,2020-04-04
52,0,14,758,2020-04-05
11,1,5,763,2020-04-06
20,0,25,758,2020-04-07
28,1,27,758,2020-04-08
40,1,24,773,2020-04-09
16,2,11,776,2020-04-10
30,1,24,781,2020-04-11
46,0,24,803,2020-04-12
26,1,14,814,2020-04-13
28,2,54,786,2020-04-14
44,1,32,797,2020-04-15
48,1,61,783,2020-04-16
42,1,44,780,2020-04-17
47,1,121,705,2020-04-18
43,0,22,726,2020-04-19
48,2,35,737,2020-04-20
62,2,29,768,2020-04-21
72,0,24,816,2020-04-22
50,0,26,840,2020-04-23
73,3,69,841,2020-04-24
81,1,75,846,2020-04-25
69,0,30,885,2020-04-26
62,1,15,931,2020-04-27
59,1,18,971,2020-04-28
65,0,34,1002,2020-04-29
134,2,29,1105,2020-04-30
82,1,48,1138,2020-05-01
125,0,33,1230,2020-05-02
113,2,25,1316,2020-05-03
121,4,36,1397,2020-05-04
112,1,40,1468,2020-05-05
163,0,24,1607,2020-05-06
102,2,50,1657,2020-05-07
145,1,33,1768,2020-05-08
146,1,49,1864,2020-05-09
138,1,58,1943,2020-05-10
79,1,34,1987,2020-05-11
146,1,71,2061,2020-05-12
180,1,70,2170,2020-05-13
142,1,72,2239,2020-05-14
184,3,94,2326,2020-05-15
239,3,125,2437,2020-05-16
189,5,134,2487,2020-05-17
351,1,94,2743,2020-05-18
218,3,145,2813,2020-05-19
230,3,255,2785,2020-05-20
335,3,162,2955,2020-05-21
322,4,293,2980,2020-05-22
374,3,62,3289,2020-05-23
359,4,128,3516,2020-05-24
452,6,81,3881,2020-05-25
289,4,75,4091,2020-05-26
372,7,35,4421,2020-05-27
442,15,32,4816,2020-05-28
460,7,10,5259,2020-05-29
251,7,20,5483,2020-05-30
355,4,69,5765,2020-05-31
210,8,16,5951,2020-06-01
517,19,25,6424,2020-06-02
515,12,27,6900,2020-06-03
697,6,14,7577,2020-06-04
596,7,45,8121,2020-06-05
547,7,207,8454,2020-06-06
766,10,294,8916,2020-06-07
195,11,85,9015,2020-06-08
