Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
1,0,0,1,2020-02-01
0,0,0,1,2020-02-02
0,0,0,1,2020-02-03
0,0,0,1,2020-02-04
0,0,0,1,2020-02-05
0,0,0,1,2020-02-06
0,0,0,1,2020-02-07
0,0,0,1,2020-02-08
1,0,0,2,2020-02-09
0,0,0,2,2020-02-10
0,0,0,2,2020-02-11
0,0,0,2,2020-02-12
0,0,0,2,2020-02-13
0,0,0,2,2020-02-14
0,0,2,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
4,0,0,4,2020-02-25
7,0,0,11,2020-02-26
2,0,0,13,2020-02-27
17,0,0,30,2020-02-28
13,0,0,43,2020-02-29
39,0,0,82,2020-03-01
36,0,0,118,2020-03-02
45,1,0,162,2020-03-03
57,1,0,218,2020-03-04
37,1,0,254,2020-03-05
141,2,0,393,2020-03-06
100,5,28,460,2020-03-07
173,7,0,626,2020-03-08
400,11,2,1013,2020-03-09
622,7,0,1628,2020-03-10
582,19,151,2040,2020-03-11
0,1,0,2039,2020-03-12
2955,78,10,4906,2020-03-13
1159,62,324,5679,2020-03-14
1407,94,0,6992,2020-03-15
2144,53,13,9070,2020-03-16
1806,191,498,10187,2020-03-17
2162,90,53,12206,2020-03-18
4053,207,26,16026,2020-03-19
2447,213,481,17779,2020-03-20
4964,332,537,21874,2020-03-21
3394,397,450,24421,2020-03-22
6368,539,0,30250,2020-03-23
4749,497,1219,33283,2020-03-24
9630,839,1573,40501,2020-03-25
8271,718,1648,46406,2020-03-26
7933,773,2342,51224,2020-03-27
7516,844,2928,54968,2020-03-28
6875,821,2424,58598,2020-03-29
7846,913,2071,63460,2020-03-30
7967,748,2479,68200,2020-03-31
8195,923,3388,72084,2020-04-01
7947,961,4096,74974,2020-04-02
7134,850,3770,77488,2020-04-03
6969,749,3706,80002,2020-04-04
5478,694,3861,80925,2020-04-05
5029,700,2357,82897,2020-04-06
5267,704,2771,84689,2020-04-07
6278,747,4813,85407,2020-04-08
5002,655,4144,85610,2020-04-09
5051,634,3503,86524,2020-04-10
4754,525,3441,87312,2020-04-11
3804,603,3282,87231,2020-04-12
3268,547,2336,87616,2020-04-13
2442,300,2777,86981,2020-04-14
5103,652,3349,88083,2020-04-15
7304,607,3944,90836,2020-04-16
5891,687,0,96040,2020-04-17
887,41,0,96886,2020-04-18
6948,410,2560,100864,2020-04-19
1536,399,3230,98771,2020-04-20
3968,430,1927,100382,2020-04-21
4211,435,3401,100757,2020-04-22
4635,440,3335,101617,2020-04-23
-10034,367,3105,88111,2020-04-24
2915,378,3353,87295,2020-04-25
1729,288,2664,86072,2020-04-26
1831,331,2503,85069,2020-04-27
1308,301,1673,84403,2020-04-28
2144,453,6399,79695,2020-04-29
518,268,3103,76842,2020-04-30
1781,0,0,78623,2020-05-01
1366,557,5198,74234,2020-05-02
884,164,1654,73300,2020-05-03
545,164,2441,71240,2020-05-04
1318,185,2143,70230,2020-05-05
996,244,2516,68466,2020-05-06
1122,213,2509,66866,2020-05-07
1410,229,2637,65410,2020-05-08
721,179,2804,63148,2020-05-09
772,143,2214,61563,2020-05-10
3086,123,973,63553,2020-05-11
594,176,1841,62130,2020-05-12
661,184,1843,60764,2020-05-13
849,217,2551,58845,2020-05-14
643,138,1409,57941,2020-05-15
515,104,1663,56689,2020-05-16
0,0,0,56689,2020-05-17
908,146,3930,53521,2020-05-18
431,69,0,53883,2020-05-19
518,110,0,54291,2020-05-20
482,52,0,54721,2020-05-21
1787,688,0,55820,2020-05-22
466,50,0,56236,2020-05-23
482,74,0,56644,2020-05-24
-372,-1918,0,58190,2020-05-25
859,283,0,58766,2020-05-26
0,0,0,58766,2020-05-27
1647,2,0,60411,2020-05-28
658,2,0,61067,2020-05-29
