Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
1,0,0,1,2020-03-03
0,0,0,1,2020-03-04
0,0,0,1,2020-03-05
0,0,0,1,2020-03-06
0,0,0,1,2020-03-07
0,0,0,1,2020-03-08
0,0,0,1,2020-03-09
0,0,0,1,2020-03-10
0,0,0,1,2020-03-11
0,0,0,1,2020-03-12
2,1,0,2,2020-03-13
0,0,0,2,2020-03-14
0,0,0,2,2020-03-15
4,0,0,6,2020-03-16
7,1,0,12,2020-03-17
0,0,0,12,2020-03-18
2,0,0,14,2020-03-19
13,1,0,26,2020-03-20
18,0,1,43,2020-03-21
26,0,0,69,2020-03-22
0,0,0,69,2020-03-23
24,0,0,93,2020-03-24
48,2,0,139,2020-03-25
51,0,0,190,2020-03-26
114,0,4,300,2020-03-27
46,4,0,342,2020-03-28
119,1,1,459,2020-03-29
73,3,2,527,2020-03-30
97,4,2,618,2020-03-31
149,3,3,761,2020-04-01
103,2,6,856,2020-04-02
175,5,3,1023,2020-04-03
153,5,3,1168,2020-04-04
83,5,3,1243,2020-04-05
11,1,0,1253,2020-04-06
143,7,0,1389,2020-04-07
206,7,7,1581,2020-04-08
224,5,10,1790,2020-04-09
311,12,16,2073,2020-04-10
308,4,18,2359,2020-04-11
266,10,10,2605,2020-04-12
325,10,8,2912,2020-04-13
270,5,22,3155,2020-04-14
392,10,24,3513,2020-04-15
397,8,43,3859,2020-04-16
501,9,60,4291,2020-04-17
444,8,29,4698,2020-04-18
343,8,72,4961,2020-04-19
261,10,12,5200,2020-04-20
415,10,8,5597,2020-04-21
467,13,57,5994,2020-04-22
578,13,80,6479,2020-04-23
477,14,278,6664,2020-04-24
478,0,0,7142,2020-04-25
492,8,58,7568,2020-04-26
392,11,24,7925,2020-04-27
401,19,128,8179,2020-04-28
456,11,111,8513,2020-04-29
540,11,135,8907,2020-04-30
455,11,175,9176,2020-05-01
550,7,85,9634,2020-05-02
502,9,50,10077,2020-05-03
418,15,71,10409,2020-05-04
366,13,256,10506,2020-05-05
487,11,222,10760,2020-05-06
507,13,299,10955,2020-05-07
504,21,310,11128,2020-05-08
515,15,203,11425,2020-05-09
522,15,151,11781,2020-05-10
416,17,228,11952,2020-05-11
375,17,85,12225,2020-05-12
402,14,343,12270,2020-05-13
422,17,427,12248,2020-05-14
483,20,330,12381,2020-05-15
528,21,433,12455,2020-05-16
433,17,210,12661,2020-05-17
325,21,160,12805,2020-05-18
260,13,356,12696,2020-05-19
354,16,323,12711,2020-05-20
476,15,272,12900,2020-05-21
442,9,358,12975,2020-05-22
432,17,344,13046,2020-05-23
406,12,179,13261,2020-05-24
259,6,126,13388,2020-05-25
339,21,341,13365,2020-05-26
321,14,420,13252,2020-05-27
477,11,444,13274,2020-05-28
429,10,495,13198,2020-05-29
393,17,377,13197,2020-05-30
468,12,227,13426,2020-05-31
890,16,515,13785,2020-06-01
333,9,408,13701,2020-06-02
490,9,377,13805,2020-06-03
596,13,630,13758,2020-06-04
561,15,347,13957,2020-06-05
559,15,450,14051,2020-06-06
