Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
1,0,0,1,2020-03-14
0,0,0,1,2020-03-15
0,0,0,1,2020-03-16
0,0,0,1,2020-03-17
0,0,0,1,2020-03-18
0,0,0,1,2020-03-19
2,1,0,2,2020-03-20
1,0,0,3,2020-03-21
1,0,0,4,2020-03-22
0,0,0,4,2020-03-23
1,0,0,5,2020-03-24
0,0,0,5,2020-03-25
1,0,0,6,2020-03-26
0,0,0,6,2020-03-27
0,0,0,6,2020-03-28
0,0,0,6,2020-03-29
0,0,0,6,2020-03-30
9,0,0,15,2020-03-31
2,0,0,17,2020-04-01
3,0,0,20,2020-04-02
0,0,1,19,2020-04-03
0,0,0,19,2020-04-04
0,0,0,19,2020-04-05
3,0,0,22,2020-04-06
6,0,0,28,2020-04-07
4,0,0,32,2020-04-08
10,0,0,42,2020-04-09
0,0,0,42,2020-04-10
2,0,0,44,2020-04-11
3,0,0,47,2020-04-12
8,0,0,55,2020-04-13
0,0,0,55,2020-04-14
23,0,3,75,2020-04-15
0,0,0,75,2020-04-16
28,0,3,100,2020-04-17
0,0,0,100,2020-04-18
1,0,0,101,2020-04-19
11,0,0,112,2020-04-20
36,0,9,139,2020-04-21
10,0,8,141,2020-04-22
1,1,0,141,2020-04-23
5,1,2,143,2020-04-24
4,0,4,143,2020-04-25
0,0,0,143,2020-04-26
35,0,13,165,2020-04-27
27,0,10,182,2020-04-28
38,0,14,206,2020-04-29
0,0,0,206,2020-04-30
0,0,0,206,2020-05-01
59,2,18,245,2020-05-02
0,0,0,245,2020-05-03
32,1,8,268,2020-05-04
30,0,0,298,2020-05-05
0,0,0,298,2020-05-06
107,2,17,386,2020-05-07
116,0,0,502,2020-05-08
41,0,0,543,2020-05-09
0,0,0,543,2020-05-10
141,1,17,666,2020-05-11
61,0,10,717,2020-05-12
141,0,15,843,2020-05-13
100,1,30,912,2020-05-14
105,0,37,980,2020-05-15
111,1,25,1065,2020-05-16
0,0,0,1065,2020-05-17
112,0,57,1120,2020-05-18
70,1,17,1172,2020-05-19
65,0,47,1190,2020-05-20
0,0,0,1190,2020-05-21
161,0,37,1314,2020-05-22
206,0,57,1463,2020-05-23
0,0,0,1463,2020-05-24
201,2,103,1559,2020-05-25
103,0,31,1631,2020-05-26
81,0,38,1674,2020-05-27
112,0,37,1749,2020-05-28
182,1,41,1889,2020-05-29
42,2,13,1916,2020-05-30
0,0,0,1916,2020-05-31
0,0,0,1916,2020-06-01
148,3,57,2004,2020-06-02
99,0,22,2081,2020-06-03
53,1,17,2116,2020-06-04
146,0,15,2247,2020-06-05
0,0,0,2247,2020-06-06
0,0,0,2247,2020-06-07
0,0,0,2247,2020-06-08
146,0,105,2288,2020-06-09
