Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
1,0,0,1,2020-03-02
0,0,0,1,2020-03-03
0,0,0,1,2020-03-04
1,0,0,2,2020-03-05
0,0,0,2,2020-03-06
0,0,0,2,2020-03-07
0,0,0,2,2020-03-08
0,0,0,2,2020-03-09
1,1,0,2,2020-03-10
2,0,0,4,2020-03-11
1,0,0,5,2020-03-12
1,0,1,5,2020-03-13
10,0,0,15,2020-03-14
11,0,0,26,2020-03-15
1,0,0,27,2020-03-16
9,1,0,35,2020-03-17
11,0,0,46,2020-03-18
14,0,0,60,2020-03-19
14,1,0,73,2020-03-20
19,0,2,90,2020-03-21
19,1,0,108,2020-03-22
28,0,0,136,2020-03-23
27,1,3,159,2020-03-24
55,1,1,212,2020-03-25
50,5,1,256,2020-03-26
70,12,3,311,2020-03-27
57,2,0,366,2020-03-28
77,1,2,440,2020-03-29
77,7,2,508,2020-03-30
61,3,9,557,2020-03-31
37,3,5,586,2020-04-01
54,5,2,633,2020-04-02
83,4,26,686,2020-04-03
128,11,9,794,2020-04-04
102,11,10,875,2020-04-05
99,10,5,959,2020-04-06
64,10,12,1001,2020-04-07
91,3,4,1085,2020-04-08
99,4,12,1168,2020-04-09
74,10,13,1219,2020-04-10
97,4,24,1288,2020-04-11
116,7,31,1366,2020-04-12
102,8,26,1434,2020-04-13
125,0,14,1545,2020-04-14
136,1,12,1668,2020-04-15
259,3,20,1904,2020-04-16
281,5,32,2148,2020-04-17
121,2,33,2234,2020-04-18
170,4,13,2387,2020-04-19
191,2,23,2553,2020-04-20
163,2,43,2671,2020-04-21
237,4,24,2880,2020-04-22
122,6,39,2957,2020-04-23
190,3,30,3114,2020-04-24
139,1,51,3201,2020-04-25
168,2,56,3311,2020-04-26
55,1,102,3263,2020-04-27
132,3,83,3309,2020-04-28
69,3,150,3225,2020-04-29
102,2,56,3269,2020-04-30
146,1,99,3315,2020-05-01
160,2,173,3300,2020-05-02
174,1,182,3291,2020-05-03
150,5,215,3221,2020-05-04
166,2,185,3200,2020-05-05
189,2,179,3208,2020-05-06
140,0,162,3186,2020-05-07
163,3,145,3201,2020-05-08
199,0,137,3263,2020-05-09
153,2,93,3321,2020-05-10
218,0,257,3282,2020-05-11
137,0,180,3239,2020-05-12
94,0,140,3193,2020-05-13
95,2,179,3107,2020-05-14
45,0,90,3062,2020-05-15
89,2,87,3062,2020-05-16
129,0,173,3018,2020-05-17
82,0,98,3002,2020-05-18
71,1,143,2929,2020-05-19
110,1,197,2841,2020-05-20
78,2,182,2735,2020-05-21
121,1,97,2758,2020-05-22
74,1,261,2570,2020-05-23
27,1,65,2531,2020-05-24
99,1,71,2558,2020-05-25
45,2,107,2494,2020-05-26
24,0,97,2421,2020-05-27
42,0,217,2246,2020-05-28
71,0,76,2241,2020-05-29
66,2,130,2175,2020-05-30
27,1,58,2143,2020-05-31
26,0,434,1735,2020-06-01
33,1,517,1250,2020-06-02
56,0,456,850,2020-06-03
81,2,329,600,2020-06-04
68,0,73,595,2020-06-05
80,0,47,628,2020-06-06
73,0,49,652,2020-06-07
