Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
1,0,0,1,2020-02-14
0,0,0,1,2020-02-15
0,0,0,1,2020-02-16
0,0,0,1,2020-02-17
0,0,0,1,2020-02-18
0,0,0,1,2020-02-19
0,0,0,1,2020-02-20
0,0,0,1,2020-02-21
0,0,0,1,2020-02-22
0,0,0,1,2020-02-23
0,0,0,1,2020-02-24
0,0,0,1,2020-02-25
0,0,0,1,2020-02-26
0,0,0,1,2020-02-27
0,0,1,0,2020-02-28
0,0,0,0,2020-02-29
1,0,0,1,2020-03-01
0,0,0,1,2020-03-02
0,0,0,1,2020-03-03
0,0,0,1,2020-03-04
1,0,0,2,2020-03-05
12,0,0,14,2020-03-06
0,0,0,14,2020-03-07
34,1,0,47,2020-03-08
6,0,0,53,2020-03-09
4,0,0,57,2020-03-10
1,0,26,32,2020-03-11
7,0,0,39,2020-03-12
13,1,0,51,2020-03-13
29,0,0,80,2020-03-14
1,0,-6,87,2020-03-15
40,0,6,121,2020-03-16
46,2,5,160,2020-03-17
0,2,0,158,2020-03-18
60,0,0,218,2020-03-19
29,2,7,238,2020-03-20
9,2,2,243,2020-03-21
33,4,15,257,2020-03-22
39,5,0,291,2020-03-23
36,1,24,302,2020-03-24
54,1,15,340,2020-03-25
39,3,7,369,2020-03-26
41,6,14,390,2020-03-27
40,6,5,419,2020-03-28
33,4,11,437,2020-03-29
47,1,18,465,2020-03-30
54,5,7,507,2020-03-31
69,6,22,548,2020-04-01
86,6,22,606,2020-04-02
120,8,15,703,2020-04-03
85,5,25,758,2020-04-04
103,7,6,848,2020-04-05
149,7,12,978,2020-04-06
128,9,17,1080,2020-04-07
110,9,29,1152,2020-04-08
139,15,43,1233,2020-04-09
95,17,36,1275,2020-04-10
145,11,42,1367,2020-04-11
126,13,163,1317,2020-04-12
125,5,0,1437,2020-04-13
160,14,0,1583,2020-04-14
155,5,0,1733,2020-04-15
168,13,7,1881,2020-04-16
171,9,50,1993,2020-04-17
188,19,55,2107,2020-04-18
112,15,31,2173,2020-04-19
189,11,89,2262,2020-04-20
157,14,49,2356,2020-04-21
169,12,65,2448,2020-04-22
232,11,69,2600,2020-04-23
201,7,71,2723,2020-04-24
227,13,39,2898,2020-04-25
215,10,62,3041,2020-04-26
248,20,60,3209,2020-04-27
260,22,68,3379,2020-04-28
226,21,31,3553,2020-04-29
269,12,46,3764,2020-04-30
358,14,79,4029,2020-05-01
298,9,62,4256,2020-05-02
272,14,40,4474,2020-05-03
348,7,70,4745,2020-05-04
388,16,98,5019,2020-05-05
387,17,85,5304,2020-05-06
393,13,72,5612,2020-05-07
495,21,58,6028,2020-05-08
488,11,57,6448,2020-05-09
436,11,73,6800,2020-05-10
346,8,97,7041,2020-05-11
347,11,154,7223,2020-05-12
338,12,160,7389,2020-05-13
398,15,140,7632,2020-05-14
399,21,173,7837,2020-05-15
491,20,151,8157,2020-05-16
510,18,222,8427,2020-05-17
535,15,268,8679,2020-05-18
720,14,302,9083,2020-05-19
745,21,252,9555,2020-05-20
774,16,223,10090,2020-05-21
783,11,157,10705,2020-05-22
727,28,254,11150,2020-05-23
752,29,179,11694,2020-05-24
702,19,93,12284,2020-05-25
789,14,127,12932,2020-05-26
910,19,178,13645,2020-05-27
1127,29,154,14589,2020-05-28
1289,34,152,15692,2020-05-29
1367,34,182,16843,2020-05-30
1536,46,344,17989,2020-05-31
1399,46,410,18932,2020-06-01
1152,47,380,19657,2020-06-02
1079,36,523,20177,2020-06-03
1152,38,406,20885,2020-06-04
1348,40,402,21791,2020-06-05
1497,32,380,22876,2020-06-06
