Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
1,1,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
1,0,0,1,2020-03-18
0,0,0,1,2020-03-19
0,0,0,1,2020-03-20
0,0,0,1,2020-03-21
0,0,0,1,2020-03-22
0,0,0,1,2020-03-23
1,0,0,2,2020-03-24
0,0,0,2,2020-03-25
0,0,0,2,2020-03-26
0,0,0,2,2020-03-27
2,0,0,4,2020-03-28
1,0,0,5,2020-03-29
0,1,0,4,2020-03-30
1,0,1,4,2020-03-31
0,0,1,3,2020-04-01
1,0,0,4,2020-04-02
2,0,0,6,2020-04-03
0,0,0,6,2020-04-04
2,0,0,8,2020-04-05
0,0,0,8,2020-04-06
2,0,0,10,2020-04-07
0,0,0,10,2020-04-08
1,0,0,11,2020-04-09
2,0,0,13,2020-04-10
2,0,0,15,2020-04-11
0,0,0,15,2020-04-12
10,2,2,21,2020-04-13
3,1,0,23,2020-04-14
0,0,0,23,2020-04-15
0,0,0,23,2020-04-16
1,1,0,23,2020-04-17
33,4,2,50,2020-04-18
0,0,0,50,2020-04-19
41,2,2,87,2020-04-20
0,0,0,87,2020-04-21
33,1,4,115,2020-04-22
34,3,2,144,2020-04-23
0,0,0,144,2020-04-24
39,1,5,177,2020-04-25
24,4,1,196,2020-04-26
38,1,1,232,2020-04-27
43,3,10,262,2020-04-28
57,3,1,315,2020-04-29
67,3,7,372,2020-04-30
91,5,7,451,2020-05-01
59,5,6,499,2020-05-02
0,0,0,499,2020-05-03
86,0,9,576,2020-05-04
100,4,9,663,2020-05-05
74,4,10,723,2020-05-06
78,3,12,786,2020-05-07
181,7,10,950,2020-05-08
53,5,17,981,2020-05-09
201,6,30,1146,2020-05-10
161,4,13,1290,2020-05-11
135,6,11,1408,2020-05-12
157,10,25,1530,2020-05-13
0,0,0,1530,2020-05-14
146,1,7,1668,2020-05-15
325,6,17,1970,2020-05-16
0,0,0,1970,2020-05-17
302,8,25,2239,2020-05-18
137,6,39,2331,2020-05-19
0,0,0,2331,2020-05-20
410,10,23,2708,2020-05-21
240,16,63,2869,2020-05-22
250,9,52,3058,2020-05-23
192,19,34,3197,2020-05-24
156,5,45,3303,2020-05-25
0,0,0,3303,2020-05-26
370,25,246,3402,2020-05-27
0,0,0,3402,2020-05-28
175,38,67,3472,2020-05-29
279,29,456,3266,2020-05-30
226,24,151,3317,2020-05-31
147,12,99,3353,2020-06-01
137,9,103,3378,2020-06-02
189,7,86,3474,2020-06-03
215,19,114,3556,2020-06-04
151,14,99,3594,2020-06-05
216,12,90,3708,2020-06-06
0,0,0,3708,2020-06-07
161,13,45,3811,2020-06-08
185,17,68,3911,2020-06-09
