Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
0,0,0,0,2020-03-20
0,0,0,0,2020-03-21
1,0,0,1,2020-03-22
0,0,0,1,2020-03-23
0,0,0,1,2020-03-24
4,0,0,5,2020-03-25
0,0,0,5,2020-03-26
0,0,0,5,2020-03-27
0,0,0,5,2020-03-28
4,1,0,8,2020-03-29
1,1,0,8,2020-03-30
0,0,0,8,2020-03-31
0,0,0,8,2020-04-01
6,0,0,14,2020-04-02
0,0,0,14,2020-04-03
0,0,2,12,2020-04-04
3,0,0,15,2020-04-05
0,0,0,15,2020-04-06
0,0,1,14,2020-04-07
0,0,1,13,2020-04-08
0,0,0,13,2020-04-09
0,0,0,13,2020-04-10
6,0,1,18,2020-04-11
0,0,0,18,2020-04-12
0,0,0,18,2020-04-13
4,0,0,22,2020-04-14
4,0,0,26,2020-04-15
0,0,0,26,2020-04-16
5,0,0,31,2020-04-17
0,0,0,31,2020-04-18
1,1,0,31,2020-04-19
0,0,0,31,2020-04-20
3,0,1,33,2020-04-21
0,0,0,33,2020-04-22
0,0,0,33,2020-04-23
0,0,0,33,2020-04-24
0,0,5,28,2020-04-25
1,0,3,26,2020-04-26
0,0,5,21,2020-04-27
0,0,2,19,2020-04-28
0,0,0,19,2020-04-29
0,0,0,19,2020-04-30
1,0,6,14,2020-05-01
0,0,0,14,2020-05-02
0,0,0,14,2020-05-03
0,0,0,14,2020-05-04
0,0,0,14,2020-05-05
1,0,0,15,2020-05-06
0,0,0,15,2020-05-07
2,0,2,15,2020-05-08
0,0,0,15,2020-05-09
0,0,0,15,2020-05-10
0,0,0,15,2020-05-11
0,0,0,15,2020-05-12
1,0,0,16,2020-05-13
0,0,0,16,2020-05-14
2,0,7,11,2020-05-15
1,0,0,12,2020-05-16
7,0,0,19,2020-05-17
0,0,0,19,2020-05-18
0,0,0,19,2020-05-19
0,0,0,19,2020-05-20
0,0,0,19,2020-05-21
1,1,1,18,2020-05-22
11,0,0,29,2020-05-23
16,0,4,41,2020-05-24
20,0,0,61,2020-05-25
15,0,0,76,2020-05-26
0,0,2,74,2020-05-27
1,0,0,75,2020-05-28
0,0,0,75,2020-05-29
0,0,0,75,2020-05-30
0,1,3,71,2020-05-31
1,0,0,72,2020-06-01
0,1,4,67,2020-06-02
0,0,3,64,2020-06-03
1,0,0,65,2020-06-04
0,0,0,65,2020-06-05
1,0,5,61,2020-06-06
16,0,0,77,2020-06-07
3,0,4,76,2020-06-08
2,0,0,78,2020-06-09
6,0,6,78,2020-06-10
12,0,0,90,2020-06-11
