Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
3,0,0,3,2020-03-08
0,0,0,3,2020-03-09
0,0,0,3,2020-03-10
0,0,0,3,2020-03-11
0,0,0,3,2020-03-12
0,0,0,3,2020-03-13
0,0,0,3,2020-03-14
2,0,0,5,2020-03-15
3,0,2,6,2020-03-16
2,0,1,7,2020-03-17
4,1,0,10,2020-03-18
3,0,0,13,2020-03-19
3,0,0,16,2020-03-20
5,1,0,20,2020-03-21
2,0,0,22,2020-03-22
6,1,0,27,2020-03-23
6,1,2,30,2020-03-24
0,1,2,27,2020-03-25
5,0,4,28,2020-03-26
4,0,0,32,2020-03-27
0,0,4,28,2020-03-28
0,0,0,28,2020-03-29
1,0,4,25,2020-03-30
2,0,6,21,2020-03-31
3,1,0,23,2020-04-01
2,0,0,25,2020-04-02
5,0,1,29,2020-04-03
9,2,4,32,2020-04-04
18,1,3,46,2020-04-05
35,3,0,78,2020-04-06
41,5,0,114,2020-04-07
54,3,0,165,2020-04-08
112,1,0,276,2020-04-09
94,6,0,364,2020-04-10
58,3,3,416,2020-04-11
139,4,3,548,2020-04-12
182,5,3,722,2020-04-13
209,7,0,924,2020-04-14
219,4,7,1132,2020-04-15
341,10,0,1463,2020-04-16
266,15,9,1705,2020-04-17
306,9,8,1994,2020-04-18
312,7,9,2290,2020-04-19
492,10,10,2762,2020-04-20
434,9,2,3185,2020-04-21
390,10,5,3560,2020-04-22
414,7,16,3951,2020-04-23
503,4,4,4446,2020-04-24
309,9,1,4745,2020-04-25
418,5,9,5149,2020-04-26
497,7,9,5630,2020-04-27
549,3,8,6168,2020-04-28
641,8,11,6790,2020-04-29
564,5,10,7339,2020-04-30
571,2,14,7894,2020-05-01
552,5,3,8438,2020-05-02
665,2,886,8215,2020-05-03
688,5,146,8752,2020-05-04
786,1,194,9343,2020-05-05
790,3,0,10130,2020-05-06
706,13,507,10316,2020-05-07
709,7,191,10827,2020-05-08
636,8,313,11142,2020-05-09
887,14,236,11779,2020-05-10
1034,11,252,12550,2020-05-11
969,11,245,13263,2020-05-12
1162,19,214,14192,2020-05-13
1041,14,0,15219,2020-05-14
1202,15,521,15885,2020-05-15
930,16,235,16564,2020-05-16
1273,14,256,17567,2020-05-17
1602,21,212,18936,2020-05-18
1251,21,408,19758,2020-05-19
1617,16,214,21145,2020-05-20
1773,22,395,22501,2020-05-21
1694,24,588,23583,2020-05-22
1873,20,296,25140,2020-05-23
1532,28,415,26229,2020-05-24
1975,21,433,27750,2020-05-25
1166,21,245,28650,2020-05-26
1541,22,346,29823,2020-05-27
2029,15,500,31337,2020-05-28
2523,23,590,33247,2020-05-29
1764,28,360,34623,2020-05-30
2545,40,406,36722,2020-05-31
2381,22,816,38265,2020-06-01
2911,37,523,40616,2020-06-02
2695,37,470,42804,2020-06-03
2423,35,571,44621,2020-06-04
2828,30,643,46776,2020-06-05
2635,35,521,48855,2020-06-06
