Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
1,0,0,1,2020-03-20
0,0,0,1,2020-03-21
1,0,0,2,2020-03-22
1,0,0,3,2020-03-23
0,0,0,3,2020-03-24
4,1,0,6,2020-03-25
3,0,0,9,2020-03-26
0,0,0,9,2020-03-27
0,0,0,9,2020-03-28
8,0,0,17,2020-03-29
9,2,0,24,2020-03-30
0,0,0,24,2020-03-31
47,2,0,69,2020-04-01
24,0,0,93,2020-04-02
22,0,0,115,2020-04-03
24,3,0,136,2020-04-04
40,2,13,161,2020-04-05
69,0,13,217,2020-04-06
25,1,0,241,2020-04-07
64,0,2,303,2020-04-08
68,0,12,359,2020-04-09
28,0,1,386,2020-04-10
53,0,0,439,2020-04-11
38,1,34,442,2020-04-12
0,0,0,442,2020-04-13
41,2,15,466,2020-04-14
14,0,0,480,2020-04-15
0,0,0,480,2020-04-16
43,4,20,499,2020-04-17
12,1,3,507,2020-04-18
9,1,4,511,2020-04-19
0,0,0,511,2020-04-20
9,0,10,510,2020-04-21
5,2,66,447,2020-04-22
9,2,63,391,2020-04-23
10,0,33,368,2020-04-24
3,3,36,332,2020-04-25
12,2,25,317,2020-04-26
5,0,35,287,2020-04-27
8,2,18,275,2020-04-28
4,1,32,246,2020-04-29
6,0,17,235,2020-04-30
9,1,26,217,2020-05-01
8,2,29,194,2020-05-02
14,1,11,196,2020-05-03
5,1,16,184,2020-05-04
8,1,9,182,2020-05-05
7,0,18,171,2020-05-06
11,4,25,153,2020-05-07
14,2,14,151,2020-05-08
20,1,17,153,2020-05-09
6,1,7,151,2020-05-10
11,0,13,149,2020-05-11
22,1,11,159,2020-05-12
6,2,10,153,2020-05-13
16,1,19,149,2020-05-14
9,1,7,150,2020-05-15
4,0,5,149,2020-05-16
15,3,9,152,2020-05-17
5,1,16,140,2020-05-18
5,0,20,125,2020-05-19
6,3,4,124,2020-05-20
4,2,15,111,2020-05-21
13,0,11,113,2020-05-22
6,1,11,107,2020-05-23
2,0,8,101,2020-05-24
6,1,3,103,2020-05-25
1,1,10,93,2020-05-26
0,0,0,93,2020-05-27
3,1,7,88,2020-05-28
0,0,10,78,2020-05-29
1,0,5,74,2020-05-30
2,0,21,55,2020-05-31
0,1,5,49,2020-06-01
2,0,4,47,2020-06-02
1,0,9,39,2020-06-03
2,0,3,38,2020-06-04
3,0,3,38,2020-06-05
4,0,4,38,2020-06-06
3,0,0,41,2020-06-07
0,0,2,39,2020-06-08
1,0,2,38,2020-06-09
0,0,5,33,2020-06-10
0,0,2,31,2020-06-11
