Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
1,0,0,1,2020-03-18
0,0,0,1,2020-03-19
0,0,0,1,2020-03-20
0,0,0,1,2020-03-21
0,0,0,1,2020-03-22
2,0,0,3,2020-03-23
0,0,0,3,2020-03-24
8,0,0,11,2020-03-25
0,0,0,11,2020-03-26
1,0,0,12,2020-03-27
2,0,0,14,2020-03-28
4,0,0,18,2020-03-29
0,0,0,18,2020-03-30
12,0,0,30,2020-03-31
3,0,0,33,2020-04-01
7,0,0,40,2020-04-02
9,0,8,41,2020-04-03
1,0,0,42,2020-04-04
9,0,1,50,2020-04-05
31,0,0,81,2020-04-06
0,0,0,81,2020-04-07
45,0,16,110,2020-04-08
0,0,0,110,2020-04-09
15,1,11,113,2020-04-10
37,1,0,149,2020-04-11
27,0,0,176,2020-04-12
84,0,5,255,2020-04-13
65,0,12,308,2020-04-14
72,0,18,362,2020-04-15
156,0,2,516,2020-04-16
141,0,3,654,2020-04-17
0,0,0,654,2020-04-18
114,0,26,742,2020-04-19
0,0,0,742,2020-04-20
99,0,10,831,2020-04-21
29,0,71,789,2020-04-22
12,0,69,732,2020-04-23
13,0,78,667,2020-04-24
9,0,43,633,2020-04-25
15,0,38,610,2020-04-26
12,0,66,556,2020-04-27
37,0,21,572,2020-04-28
5,0,101,476,2020-04-29
12,0,43,445,2020-04-30
8,0,30,423,2020-05-01
15,0,14,424,2020-05-02
0,0,0,424,2020-05-03
4,0,27,401,2020-05-04
4,0,32,373,2020-05-05
4,1,10,366,2020-05-06
9,0,44,331,2020-05-07
2,0,25,308,2020-05-08
54,0,10,352,2020-05-09
21,0,13,360,2020-05-10
17,0,25,352,2020-05-11
29,0,14,367,2020-05-12
12,0,14,365,2020-05-13
16,0,5,376,2020-05-14
25,1,30,370,2020-05-15
22,0,15,377,2020-05-16
70,0,22,425,2020-05-17
117,3,46,493,2020-05-18
100,0,15,578,2020-05-19
210,2,19,767,2020-05-20
219,1,3,982,2020-05-21
223,0,9,1196,2020-05-22
0,0,0,1196,2020-05-23
0,0,0,1196,2020-05-24
198,4,15,1375,2020-05-25
0,0,0,1375,2020-05-26
229,4,106,1494,2020-05-27
217,2,56,1653,2020-05-28
0,0,0,1653,2020-05-29
280,2,45,1886,2020-05-30
160,2,218,1826,2020-05-31
215,0,17,2024,2020-06-01
210,1,86,2147,2020-06-02
156,1,29,2273,2020-06-03
119,0,49,2343,2020-06-04
69,0,22,2390,2020-06-05
46,0,108,2328,2020-06-06
38,2,62,2302,2020-06-07
71,3,136,2234,2020-06-08
53,3,126,2158,2020-06-09
42,0,121,2079,2020-06-10
