Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
1,0,0,1,2020-02-28
0,0,0,1,2020-02-29
0,0,0,1,2020-03-01
0,0,0,1,2020-03-02
0,0,0,1,2020-03-03
0,0,0,1,2020-03-04
0,0,0,1,2020-03-05
0,0,0,1,2020-03-06
0,0,0,1,2020-03-07
0,0,0,1,2020-03-08
0,0,0,1,2020-03-09
0,0,0,1,2020-03-10
2,0,0,3,2020-03-11
0,0,0,3,2020-03-12
3,0,0,6,2020-03-13
2,0,0,8,2020-03-14
4,0,1,11,2020-03-15
5,0,0,16,2020-03-16
8,0,0,24,2020-03-17
2,0,0,26,2020-03-18
9,0,0,35,2020-03-19
13,0,0,48,2020-03-20
34,1,0,81,2020-03-21
60,0,0,141,2020-03-22
36,0,0,177,2020-03-23
30,1,0,206,2020-03-24
65,2,0,269,2020-03-25
25,0,0,294,2020-03-26
59,1,0,352,2020-03-27
36,2,0,386,2020-03-28
66,0,0,452,2020-03-29
31,0,6,477,2020-03-30
46,1,0,522,2020-03-31
44,0,0,566,2020-04-01
68,1,0,633,2020-04-02
47,0,0,680,2020-04-03
75,2,0,753,2020-04-04
40,2,0,791,2020-04-05
32,2,1,820,2020-04-06
37,0,0,857,2020-04-07
32,0,0,889,2020-04-08
43,1,0,931,2020-04-09
44,6,46,923,2020-04-10
27,1,0,949,2020-04-11
27,0,43,933,2020-04-12
9,1,4,937,2020-04-13
8,5,0,940,2020-04-14
21,1,37,923,2020-04-15
37,2,40,918,2020-04-16
21,1,32,906,2020-04-17
90,0,18,978,2020-04-18
59,2,14,1021,2020-04-19
28,2,0,1047,2020-04-20
24,1,56,1014,2020-04-21
20,0,59,975,2020-04-22
28,2,42,959,2020-04-23
12,0,31,940,2020-04-24
16,1,30,925,2020-04-25
12,0,7,930,2020-04-26
11,0,7,934,2020-04-27
-105,3,62,764,2020-04-28
31,1,27,767,2020-04-29
10,0,26,751,2020-04-30
14,0,5,760,2020-05-01
7,1,38,728,2020-05-02
4,0,3,729,2020-05-03
9,0,3,735,2020-05-04
4,0,40,699,2020-05-05
5,2,40,662,2020-05-06
5,1,21,645,2020-05-07
3,0,26,622,2020-05-08
8,0,63,567,2020-05-09
35,1,0,601,2020-05-10
6,0,5,602,2020-05-11
6,0,17,591,2020-05-12
14,4,58,543,2020-05-13
6,0,26,523,2020-05-14
12,0,31,504,2020-05-15
11,1,23,491,2020-05-16
7,1,9,488,2020-05-17
6,3,0,491,2020-05-18
15,1,28,477,2020-05-19
15,0,24,468,2020-05-20
16,1,0,483,2020-05-21
11,0,62,432,2020-05-22
12,2,24,418,2020-05-23
7,0,3,422,2020-05-24
12,0,0,434,2020-05-25
4,2,27,409,2020-05-26
8,1,19,397,2020-05-27
9,2,9,395,2020-05-28
6,0,23,378,2020-05-29
8,2,13,371,2020-05-30
5,0,7,369,2020-05-31
3,0,0,372,2020-06-01
4,1,13,362,2020-06-02
2,0,11,353,2020-06-03
3,0,13,343,2020-06-04
7,0,29,321,2020-06-05
11,0,19,313,2020-06-06
9,0,7,315,2020-06-07
6,0,3,318,2020-06-08
7,1,7,317,2020-06-09
6,2,31,290,2020-06-10
19,0,3,306,2020-06-11
