Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
0,0,0,0,2020-03-20
0,0,0,0,2020-03-21
0,0,0,0,2020-03-22
0,0,0,0,2020-03-23
0,0,0,0,2020-03-24
0,0,0,0,2020-03-25
0,0,0,0,2020-03-26
0,0,0,0,2020-03-27
0,0,0,0,2020-03-28
0,0,0,0,2020-03-29
0,0,0,0,2020-03-30
0,0,0,0,2020-03-31
0,0,0,0,2020-04-01
0,0,0,0,2020-04-02
0,0,0,0,2020-04-03
0,0,0,0,2020-04-04
0,0,0,0,2020-04-05
4,0,0,4,2020-04-06
0,0,0,4,2020-04-07
0,0,0,4,2020-04-08
0,0,0,4,2020-04-09
0,0,0,4,2020-04-10
0,0,0,4,2020-04-11
0,0,0,4,2020-04-12
0,0,0,4,2020-04-13
0,0,0,4,2020-04-14
0,0,0,4,2020-04-15
0,0,0,4,2020-04-16
0,0,0,4,2020-04-17
0,0,0,4,2020-04-18
0,0,0,4,2020-04-19
0,0,0,4,2020-04-20
0,0,0,4,2020-04-21
0,0,0,4,2020-04-22
0,0,0,4,2020-04-23
0,0,0,4,2020-04-24
0,0,0,4,2020-04-25
0,0,0,4,2020-04-26
0,0,0,4,2020-04-27
4,0,4,4,2020-04-28
0,0,0,4,2020-04-29
6,0,0,10,2020-04-30
2,1,0,11,2020-05-01
0,0,0,11,2020-05-02
0,0,0,11,2020-05-03
7,2,0,16,2020-05-04
151,0,0,167,2020-05-05
0,0,0,167,2020-05-06
13,1,0,179,2020-05-07
21,1,0,199,2020-05-08
0,0,0,199,2020-05-09
0,0,0,199,2020-05-10
0,0,0,199,2020-05-11
0,0,0,199,2020-05-12
12,1,0,210,2020-05-13
15,1,0,224,2020-05-14
0,0,0,224,2020-05-15
0,0,0,224,2020-05-16
0,0,0,224,2020-05-17
11,0,0,235,2020-05-18
5,1,0,239,2020-05-19
0,0,0,239,2020-05-20
0,0,0,239,2020-05-21
0,0,0,239,2020-05-22
0,0,0,239,2020-05-23
0,0,0,239,2020-05-24
48,3,0,284,2020-05-25
142,1,64,361,2020-05-26
2,0,0,363,2020-05-27
15,0,0,378,2020-05-28
5,0,0,383,2020-05-29
16,0,0,399,2020-05-30
4,0,0,403,2020-05-31
1,0,0,404,2020-06-01
0,0,0,404,2020-06-02
0,0,0,404,2020-06-03
1,0,0,405,2020-06-04
14,0,0,419,2020-06-05
0,0,0,419,2020-06-06
14,0,0,433,2020-06-07
0,0,0,433,2020-06-08
1,0,8,426,2020-06-09
97,0,59,464,2020-06-10
21,0,11,474,2020-06-11
