Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
1,0,0,1,2020-02-27
0,0,0,1,2020-02-28
0,0,0,1,2020-02-29
0,0,0,1,2020-03-01
7,0,0,8,2020-03-02
2,1,0,9,2020-03-03
6,0,0,15,2020-03-04
5,0,0,20,2020-03-05
0,0,0,20,2020-03-06
2,0,0,22,2020-03-07
13,0,0,35,2020-03-08
0,0,0,35,2020-03-09
15,1,0,49,2020-03-10
11,0,0,60,2020-03-11
7,1,0,66,2020-03-12
11,2,0,75,2020-03-13
0,0,4,71,2020-03-14
21,0,0,92,2020-03-15
8,2,0,98,2020-03-16
0,0,0,98,2020-03-17
10,4,0,104,2020-03-18
0,0,0,104,2020-03-19
25,3,0,126,2020-03-20
0,6,0,120,2020-03-21
31,0,0,151,2020-03-22
12,0,0,163,2020-03-23
0,1,0,162,2020-03-24
21,0,0,183,2020-03-25
0,0,0,183,2020-03-26
15,0,0,198,2020-03-27
1,1,2,196,2020-03-28
0,0,0,196,2020-03-29
6,3,7,192,2020-03-30
6,1,0,197,2020-03-31
0,0,0,197,2020-04-01
9,4,8,194,2020-04-02
0,0,0,194,2020-04-03
14,2,6,200,2020-04-04
7,0,8,199,2020-04-05
0,0,0,199,2020-04-06
13,2,5,205,2020-04-07
0,0,0,205,2020-04-08
54,0,9,250,2020-04-09
11,0,1,260,2020-04-10
12,1,3,268,2020-04-11
0,0,0,268,2020-04-12
0,0,0,268,2020-04-13
15,1,0,282,2020-04-14
1,0,0,283,2020-04-15
54,2,2,333,2020-04-16
9,1,2,339,2020-04-17
20,0,3,356,2020-04-18
6,0,0,362,2020-04-19
1,0,1,362,2020-04-20
14,1,1,374,2020-04-21
12,0,0,386,2020-04-22
13,0,1,398,2020-04-23
12,0,1,409,2020-04-24
0,0,0,409,2020-04-25
25,1,0,433,2020-04-26
0,0,0,433,2020-04-27
15,0,0,448,2020-04-28
10,0,5,453,2020-04-29
6,0,9,450,2020-04-30
11,0,4,457,2020-05-01
0,0,1,456,2020-05-02
2,0,3,455,2020-05-03
0,0,0,455,2020-05-04
7,0,6,456,2020-05-05
19,0,5,470,2020-05-06
14,0,9,475,2020-05-07
1,0,8,468,2020-05-08
14,0,12,470,2020-05-09
-9,0,0,461,2020-05-10
0,0,4,457,2020-05-11
10,0,31,436,2020-05-12
5,0,0,441,2020-05-13
5,0,11,435,2020-05-14
4,0,17,422,2020-05-15
1,0,9,414,2020-05-16
1,0,3,412,2020-05-17
0,0,2,410,2020-05-18
1,0,8,403,2020-05-19
1,0,9,395,2020-05-20
2,0,15,382,2020-05-21
3,0,19,366,2020-05-22
4,1,12,357,2020-05-23
0,0,0,357,2020-05-24
1,0,4,354,2020-05-25
0,0,5,349,2020-05-26
1,0,19,331,2020-05-27
3,0,28,306,2020-05-28
1,0,22,285,2020-05-29
0,0,13,272,2020-05-30
0,0,0,272,2020-05-31
0,0,2,270,2020-06-01
1,0,25,246,2020-06-02
2,0,7,241,2020-06-03
4,0,17,228,2020-06-04
2,0,20,210,2020-06-05
0,0,0,210,2020-06-06
0,0,0,210,2020-06-07
7,0,50,167,2020-06-08
1,0,5,163,2020-06-09
3,0,13,153,2020-06-10
0,0,0,153,2020-06-11
