Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
2,0,0,2,2020-03-11
0,0,0,2,2020-03-12
1,0,0,3,2020-03-13
7,0,0,10,2020-03-14
0,0,0,10,2020-03-15
1,0,0,11,2020-03-16
0,0,0,11,2020-03-17
1,0,0,12,2020-03-18
0,0,0,12,2020-03-19
3,0,0,15,2020-03-20
4,0,0,19,2020-03-21
5,0,0,24,2020-03-22
3,0,0,27,2020-03-23
2,0,0,29,2020-03-24
3,0,0,32,2020-03-25
11,0,0,43,2020-03-26
18,0,0,61,2020-03-27
13,0,0,74,2020-03-28
7,1,0,80,2020-03-29
16,3,0,93,2020-03-30
10,2,0,101,2020-03-31
8,1,1,107,2020-04-01
8,1,0,114,2020-04-02
9,1,0,122,2020-04-03
7,1,0,128,2020-04-04
18,0,1,145,2020-04-05
26,1,0,170,2020-04-06
11,3,0,178,2020-04-07
16,1,0,193,2020-04-08
54,3,0,244,2020-04-09
4,1,0,247,2020-04-10
7,1,0,253,2020-04-11
25,4,0,274,2020-04-12
30,3,0,301,2020-04-13
24,1,4,320,2020-04-14
43,0,1,362,2020-04-15
44,1,7,398,2020-04-16
24,2,12,408,2020-04-17
28,0,5,431,2020-04-18
27,1,0,457,2020-04-19
44,1,0,500,2020-04-20
34,1,6,527,2020-04-21
11,3,7,528,2020-04-22
94,6,0,616,2020-04-23
104,1,10,709,2020-04-24
59,2,0,766,2020-04-25
84,4,26,820,2020-04-26
64,3,18,863,2020-04-27
39,2,12,888,2020-04-28
57,4,7,934,2020-04-29
57,3,15,973,2020-04-30
62,4,2,1029,2020-05-01
241,5,25,1240,2020-05-02
124,5,7,1352,2020-05-03
87,6,8,1425,2020-05-04
121,4,13,1529,2020-05-05
84,5,11,1597,2020-05-06
195,11,21,1760,2020-05-07
185,4,18,1923,2020-05-08
171,8,21,2065,2020-05-09
119,4,15,2165,2020-05-10
275,4,26,2410,2020-05-11
133,6,14,2523,2020-05-12
184,14,26,2667,2020-05-13
224,10,17,2864,2020-05-14
205,12,78,2979,2020-05-15
249,1,39,3188,2020-05-16
262,4,20,3426,2020-05-17
175,5,10,3586,2020-05-18
218,15,30,3759,2020-05-19
438,10,20,4167,2020-05-20
268,16,8,4411,2020-05-21
392,15,14,4774,2020-05-22
336,10,34,5066,2020-05-23
348,10,20,5384,2020-05-24
397,11,18,5752,2020-05-25
476,13,30,6185,2020-05-26
632,6,12,6799,2020-05-27
619,13,49,7356,2020-05-28
344,7,11,7682,2020-05-29
861,10,140,8393,2020-05-30
390,3,79,8701,2020-05-31
549,30,169,9051,2020-06-01
460,33,161,9317,2020-06-02
647,24,209,9731,2020-06-03
607,15,151,10172,2020-06-04
483,12,81,10562,2020-06-05
630,27,163,11002,2020-06-06
285,11,184,11092,2020-06-07
306,10,73,11315,2020-06-08
