Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
2,0,0,2,2020-03-18
0,0,0,2,2020-03-19
0,0,0,2,2020-03-20
0,0,0,2,2020-03-21
1,0,0,3,2020-03-22
0,0,0,3,2020-03-23
0,0,0,3,2020-03-24
9,0,0,12,2020-03-25
4,0,0,16,2020-03-26
6,0,0,22,2020-03-27
6,0,0,28,2020-03-28
1,0,0,29,2020-03-29
6,0,0,35,2020-03-30
0,0,0,35,2020-03-31
1,0,0,36,2020-04-01
3,1,0,38,2020-04-02
0,0,2,36,2020-04-03
0,0,0,36,2020-04-04
0,0,1,35,2020-04-05
0,0,2,33,2020-04-06
0,0,2,31,2020-04-07
0,0,0,31,2020-04-08
0,0,17,14,2020-04-09
1,1,1,13,2020-04-10
0,0,3,10,2020-04-11
3,0,2,11,2020-04-12
2,0,0,13,2020-04-13
0,0,0,13,2020-04-14
3,0,0,16,2020-04-15
0,0,0,16,2020-04-16
4,0,0,20,2020-04-17
5,0,3,22,2020-04-18
4,1,0,25,2020-04-19
4,0,2,27,2020-04-20
5,0,0,32,2020-04-21
4,0,0,36,2020-04-22
2,0,2,36,2020-04-23
8,0,0,44,2020-04-24
0,0,0,44,2020-04-25
4,0,5,43,2020-04-26
0,0,0,43,2020-04-27
7,0,0,50,2020-04-28
2,0,12,40,2020-04-29
9,0,1,48,2020-04-30
3,0,19,32,2020-05-01
10,0,1,41,2020-05-02
5,0,3,43,2020-05-03
13,0,0,56,2020-05-04
1,0,14,43,2020-05-05
8,1,9,41,2020-05-06
7,0,2,46,2020-05-07
14,0,8,52,2020-05-08
85,3,1,133,2020-05-09
15,0,5,143,2020-05-10
0,0,0,143,2020-05-11
174,0,0,317,2020-05-12
5,0,7,315,2020-05-13
208,0,0,523,2020-05-14
0,0,0,523,2020-05-15
25,0,59,489,2020-05-16
74,0,5,558,2020-05-17
8,0,4,562,2020-05-18
11,0,0,573,2020-05-19
60,0,5,628,2020-05-20
34,0,105,557,2020-05-21
54,0,34,577,2020-05-22
0,0,0,577,2020-05-23
0,0,0,577,2020-05-24
0,0,0,577,2020-05-25
0,0,0,577,2020-05-26
137,0,443,271,2020-05-27
0,0,0,271,2020-05-28
0,0,0,271,2020-05-29
0,0,0,271,2020-05-30
0,0,0,271,2020-05-31
32,0,133,170,2020-06-01
0,0,0,170,2020-06-02
0,0,0,170,2020-06-03
0,0,0,170,2020-06-04
0,0,0,170,2020-06-05
0,0,0,170,2020-06-06
0,0,0,170,2020-06-07
111,3,0,278,2020-06-08
0,0,0,278,2020-06-09
0,0,0,278,2020-06-10
0,0,0,278,2020-06-11
