Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
2,0,0,2,2020-02-23
0,0,0,2,2020-02-24
0,0,0,2,2020-02-25
0,0,0,2,2020-02-26
0,0,0,2,2020-02-27
0,0,0,2,2020-02-28
0,0,0,2,2020-02-29
7,0,0,9,2020-03-01
0,0,0,9,2020-03-02
1,0,0,10,2020-03-03
0,0,0,10,2020-03-04
3,0,0,13,2020-03-05
0,0,0,13,2020-03-06
0,0,0,13,2020-03-07
7,0,0,20,2020-03-08
0,0,0,20,2020-03-09
5,0,0,25,2020-03-10
10,0,0,35,2020-03-11
0,0,0,35,2020-03-12
20,0,0,55,2020-03-13
33,0,0,88,2020-03-14
13,0,0,101,2020-03-15
81,0,0,182,2020-03-16
46,0,0,228,2020-03-17
37,0,0,265,2020-03-18
0,0,0,265,2020-03-19
196,0,6,455,2020-03-20
131,0,0,586,2020-03-21
95,1,2,678,2020-03-22
114,1,0,791,2020-03-23
176,0,9,958,2020-03-24
220,1,5,1172,2020-03-25
164,1,0,1335,2020-03-26
304,1,21,1617,2020-03-27
350,1,18,1948,2020-03-28
230,1,14,2163,2020-03-29
310,1,81,2391,2020-03-30
289,4,0,2676,2020-03-31
293,4,78,2887,2020-04-01
373,2,101,3157,2020-04-02
333,4,92,3394,2020-04-03
512,5,101,3800,2020-04-04
310,7,90,4013,2020-04-05
344,3,110,4244,2020-04-06
301,6,170,4369,2020-04-07
430,5,217,4577,2020-04-08
426,9,159,4835,2020-04-09
529,8,297,5059,2020-04-10
671,8,293,5429,2020-04-11
286,7,195,5513,2020-04-12
312,2,308,5515,2020-04-13
392,10,279,5618,2020-04-14
356,2,291,5681,2020-04-15
534,11,362,5842,2020-04-16
445,11,322,5954,2020-04-17
907,10,414,6437,2020-04-18
358,7,303,6485,2020-04-19
419,6,338,6560,2020-04-20
325,8,293,6584,2020-04-21
464,13,417,6618,2020-04-22
516,8,418,6708,2020-04-23
494,6,523,6673,2020-04-24
1363,7,419,7610,2020-04-25
473,8,278,7797,2020-04-26
482,9,303,7967,2020-04-27
552,9,383,8127,2020-04-28
520,9,347,8291,2020-04-29
1138,11,523,8895,2020-04-30
985,7,438,9435,2020-05-01
2526,13,554,11394,2020-05-02
1228,13,469,12140,2020-05-03
980,10,374,12736,2020-05-04
1373,5,295,13809,2020-05-05
1032,6,479,14356,2020-05-06
1533,4,475,15410,2020-05-07
1391,9,496,16296,2020-05-08
3458,10,507,19237,2020-05-09
1647,8,445,20431,2020-05-10
1197,11,493,21124,2020-05-11
1658,12,520,22250,2020-05-12
2660,11,740,24159,2020-05-13
2659,22,790,26006,2020-05-14
2502,26,959,27523,2020-05-15
5485,27,1400,31581,2020-05-16
2353,29,1199,32706,2020-05-17
2278,28,952,34004,2020-05-18
3520,31,1342,36151,2020-05-19
4038,35,997,39157,2020-05-20
3964,45,1488,41588,2020-05-21
4276,41,1350,44473,2020-05-22
9842,43,1204,53068,2020-05-23
3709,45,1602,55130,2020-05-24
4895,43,1154,58828,2020-05-25
3964,45,1613,61134,2020-05-26
4328,35,2625,62802,2020-05-27
4654,49,2575,64832,2020-05-28
3695,54,2483,65990,2020-05-29
13188,53,1833,77292,2020-05-30
4830,57,2296,79769,2020-05-31
5470,59,2219,82961,2020-06-01
3528,75,41227,45187,2020-06-02
4942,87,4575,45467,2020-06-03
