Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
0,0,0,0,2020-03-20
0,0,0,0,2020-03-21
0,0,0,0,2020-03-22
0,0,0,0,2020-03-23
0,0,0,0,2020-03-24
2,0,0,2,2020-03-25
0,0,0,2,2020-03-26
0,0,0,2,2020-03-27
0,0,0,2,2020-03-28
0,0,0,2,2020-03-29
6,0,0,8,2020-03-30
0,0,0,8,2020-03-31
1,0,0,9,2020-04-01
0,0,0,9,2020-04-02
6,0,0,15,2020-04-03
3,0,0,18,2020-04-04
0,0,0,18,2020-04-05
0,0,0,18,2020-04-06
15,0,0,33,2020-04-07
0,0,0,33,2020-04-08
3,0,0,36,2020-04-09
0,0,0,36,2020-04-10
2,0,0,38,2020-04-11
0,0,0,38,2020-04-12
0,0,0,38,2020-04-13
0,0,0,38,2020-04-14
5,0,0,43,2020-04-15
0,0,0,43,2020-04-16
0,0,0,43,2020-04-17
3,0,0,46,2020-04-18
4,0,3,47,2020-04-19
0,0,0,47,2020-04-20
0,0,0,47,2020-04-21
0,0,0,47,2020-04-22
0,0,0,47,2020-04-23
2,0,0,49,2020-04-24
0,0,0,49,2020-04-25
1,1,0,49,2020-04-26
20,0,15,54,2020-04-27
0,0,0,54,2020-04-28
132,0,1,185,2020-04-29
0,0,0,185,2020-04-30
52,0,0,237,2020-05-01
0,0,0,237,2020-05-02
0,0,0,237,2020-05-03
156,0,0,393,2020-05-04
0,0,0,393,2020-05-05
62,1,5,449,2020-05-06
89,0,1,537,2020-05-07
30,0,0,567,2020-05-08
47,1,0,613,2020-05-09
85,0,1,697,2020-05-10
35,0,0,732,2020-05-11
59,0,0,791,2020-05-12
16,0,0,807,2020-05-13
77,0,0,884,2020-05-14
0,0,0,884,2020-05-15
56,1,0,939,2020-05-16
21,0,0,960,2020-05-17
42,0,12,990,2020-05-18
6,2,4,990,2020-05-19
51,0,0,1041,2020-05-20
20,0,0,1061,2020-05-21
5,0,0,1066,2020-05-22
0,0,0,1066,2020-05-23
0,0,0,1066,2020-05-24
64,1,0,1129,2020-05-25
0,0,0,1129,2020-05-26
17,0,0,1146,2020-05-27
0,1,0,1145,2020-05-28
61,0,0,1206,2020-05-29
0,0,0,1206,2020-05-30
0,0,0,1206,2020-05-31
83,0,11,1278,2020-06-01
0,0,0,1278,2020-06-02
0,0,0,1278,2020-06-03
0,0,0,1278,2020-06-04
29,4,100,1203,2020-06-05
0,0,0,1203,2020-06-06
0,0,0,1203,2020-06-07
21,0,0,1224,2020-06-08
0,0,0,1224,2020-06-09
