Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
1,0,0,1,2020-02-28
0,0,0,1,2020-02-29
0,0,0,1,2020-03-01
0,0,0,1,2020-03-02
0,0,0,1,2020-03-03
2,0,0,3,2020-03-04
0,0,0,3,2020-03-05
1,0,0,4,2020-03-06
1,0,0,5,2020-03-07
0,0,0,5,2020-03-08
0,0,0,5,2020-03-09
0,0,0,5,2020-03-10
0,0,0,5,2020-03-11
0,0,0,5,2020-03-12
0,0,0,5,2020-03-13
1,0,0,6,2020-03-14
2,0,0,8,2020-03-15
0,0,0,8,2020-03-16
4,0,0,12,2020-03-17
8,0,0,20,2020-03-18
8,0,0,28,2020-03-19
11,0,0,39,2020-03-20
13,0,0,52,2020-03-21
50,0,0,102,2020-03-22
0,0,0,102,2020-03-23
53,0,12,143,2020-03-24
50,0,10,183,2020-03-25
78,0,5,256,2020-03-26
85,0,10,331,2020-03-27
83,0,13,401,2020-03-28
63,1,6,457,2020-03-29
75,0,7,525,2020-03-30
58,0,11,572,2020-03-31
61,0,9,624,2020-04-01
89,0,9,704,2020-04-02
71,0,11,764,2020-04-03
82,0,24,822,2020-04-04
89,0,29,882,2020-04-05
67,0,20,929,2020-04-06
54,0,65,918,2020-04-07
50,0,41,927,2020-04-08
29,0,35,921,2020-04-09
44,1,56,908,2020-04-10
29,2,49,886,2020-04-11
18,0,49,855,2020-04-12
19,1,75,798,2020-04-13
17,4,82,729,2020-04-14
20,0,100,649,2020-04-15
15,0,42,622,2020-04-16
8,2,46,582,2020-04-17
13,0,51,544,2020-04-18
9,1,45,507,2020-04-19
9,0,62,454,2020-04-20
5,1,32,426,2020-04-21
6,1,30,401,2020-04-22
5,3,59,344,2020-04-23
5,1,23,325,2020-04-24
9,0,24,310,2020-04-25
-1,1,38,270,2020-04-26
3,0,34,239,2020-04-27
2,0,15,226,2020-04-28
2,0,12,216,2020-04-29
3,0,11,208,2020-04-30
6,1,11,202,2020-05-01
2,0,3,201,2020-05-02
0,0,10,191,2020-05-03
-1,0,26,164,2020-05-04
2,1,14,151,2020-05-05
1,0,16,136,2020-05-06
1,0,15,122,2020-05-07
2,0,21,103,2020-05-08
2,0,3,102,2020-05-09
3,0,15,90,2020-05-10
0,0,12,78,2020-05-11
0,0,4,74,2020-05-12
0,0,9,65,2020-05-13
1,0,10,56,2020-05-14
0,0,7,49,2020-05-15
1,0,5,45,2020-05-16
0,0,0,45,2020-05-17
0,0,0,45,2020-05-18
4,0,14,35,2020-05-19
0,0,5,30,2020-05-20
1,0,3,28,2020-05-21
0,0,0,28,2020-05-22
0,0,1,27,2020-05-23
0,0,0,27,2020-05-24
0,0,5,22,2020-05-25
0,0,1,21,2020-05-26
0,1,12,8,2020-05-27
0,0,7,1,2020-05-28
0,0,0,1,2020-05-29
0,0,0,1,2020-05-30
0,0,0,1,2020-05-31
0,0,0,1,2020-06-01
0,0,0,1,2020-06-02
0,0,0,1,2020-06-03
0,0,0,1,2020-06-04
0,0,0,1,2020-06-05
0,0,0,1,2020-06-06
0,0,1,0,2020-06-07
0,0,0,0,2020-06-08
0,0,0,0,2020-06-09
0,0,0,0,2020-06-10
0,0,0,0,2020-06-11
