Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
1,0,0,1,2020-03-10
1,0,0,2,2020-03-11
0,0,0,2,2020-03-12
0,0,0,2,2020-03-13
0,0,0,2,2020-03-14
1,0,0,3,2020-03-15
12,0,0,15,2020-03-16
0,0,0,15,2020-03-17
5,1,0,19,2020-03-18
13,0,0,32,2020-03-19
7,0,0,39,2020-03-20
24,1,5,57,2020-03-21
11,2,0,66,2020-03-22
24,0,0,90,2020-03-23
15,0,2,103,2020-03-24
32,0,3,132,2020-03-25
6,3,0,135,2020-03-26
28,2,2,159,2020-03-27
27,2,9,175,2020-03-28
15,1,2,187,2020-03-29
24,0,8,203,2020-03-30
15,2,1,215,2020-03-31
21,2,14,220,2020-04-01
6,0,4,222,2020-04-02
14,0,0,236,2020-04-03
16,0,16,236,2020-04-04
27,1,24,238,2020-04-05
19,1,18,238,2020-04-06
20,1,19,238,2020-04-07
30,4,7,257,2020-04-08
29,1,12,273,2020-04-09
0,0,0,273,2020-04-10
41,3,9,302,2020-04-11
13,0,6,309,2020-04-12
0,0,0,309,2020-04-13
31,3,16,321,2020-04-14
14,2,49,284,2020-04-15
4,0,31,257,2020-04-16
11,3,37,228,2020-04-17
8,1,27,208,2020-04-18
11,0,17,202,2020-04-19
5,2,19,186,2020-04-20
19,0,5,200,2020-04-21
9,1,27,181,2020-04-22
7,2,21,165,2020-04-23
13,0,15,163,2020-04-24
0,0,17,146,2020-04-25
3,1,11,137,2020-04-26
3,0,16,124,2020-04-27
3,0,7,120,2020-04-28
3,1,22,100,2020-04-29
4,0,8,96,2020-04-30
4,1,11,88,2020-05-01
3,0,18,73,2020-05-02
10,1,5,77,2020-05-03
10,1,5,81,2020-05-04
16,2,3,92,2020-05-05
41,0,7,126,2020-05-06
7,0,7,126,2020-05-07
8,0,4,130,2020-05-08
4,0,3,131,2020-05-09
3,1,8,125,2020-05-10
9,1,7,126,2020-05-11
6,1,4,127,2020-05-12
7,0,4,130,2020-05-13
0,0,0,130,2020-05-14
7,0,3,134,2020-05-15
2,0,9,127,2020-05-16
14,0,40,101,2020-05-17
0,0,8,93,2020-05-18
0,0,0,93,2020-05-19
13,1,9,96,2020-05-20
3,0,8,91,2020-05-21
2,0,3,90,2020-05-22
0,0,0,90,2020-05-23
0,0,0,90,2020-05-24
18,0,0,108,2020-05-25
0,0,0,108,2020-05-26
13,1,0,120,2020-05-27
2,0,47,75,2020-05-28
0,0,1,74,2020-05-29
0,0,0,74,2020-05-30
0,0,0,74,2020-05-31
0,0,0,74,2020-06-01
34,0,0,108,2020-06-02
3,0,33,78,2020-06-03
1,0,7,72,2020-06-04
3,0,0,75,2020-06-05
0,0,5,70,2020-06-06
1,0,0,71,2020-06-07
1,0,0,72,2020-06-08
1,0,0,73,2020-06-09
0,0,0,73,2020-06-10
1,0,25,49,2020-06-11
