Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
0,0,0,0,2020-03-20
0,0,0,0,2020-03-21
0,0,0,0,2020-03-22
0,0,0,0,2020-03-23
0,0,0,0,2020-03-24
0,0,0,0,2020-03-25
0,0,0,0,2020-03-26
0,0,0,0,2020-03-27
0,0,0,0,2020-03-28
0,0,0,0,2020-03-29
0,0,0,0,2020-03-30
0,0,0,0,2020-03-31
0,0,0,0,2020-04-01
0,0,0,0,2020-04-02
0,0,0,0,2020-04-03
0,0,0,0,2020-04-04
0,0,0,0,2020-04-05
0,0,0,0,2020-04-06
0,0,0,0,2020-04-07
0,0,0,0,2020-04-08
0,0,0,0,2020-04-09
1,0,0,1,2020-04-10
0,0,0,1,2020-04-11
0,0,0,1,2020-04-12
0,0,0,1,2020-04-13
0,0,0,1,2020-04-14
0,0,0,1,2020-04-15
0,0,0,1,2020-04-16
0,0,0,1,2020-04-17
0,0,0,1,2020-04-18
0,0,0,1,2020-04-19
0,0,0,1,2020-04-20
0,0,0,1,2020-04-21
0,0,0,1,2020-04-22
0,0,0,1,2020-04-23
0,0,1,0,2020-04-24
0,0,0,0,2020-04-25
0,0,0,0,2020-04-26
0,0,0,0,2020-04-27
0,0,0,0,2020-04-28
5,0,0,5,2020-04-29
0,2,0,3,2020-04-30
1,0,0,4,2020-05-01
3,0,0,7,2020-05-02
0,0,0,7,2020-05-03
2,0,0,9,2020-05-04
10,2,0,17,2020-05-05
3,1,0,19,2020-05-06
0,0,0,19,2020-05-07
9,2,0,26,2020-05-08
0,0,0,26,2020-05-09
17,1,0,42,2020-05-10
5,1,0,46,2020-05-11
9,1,0,54,2020-05-12
5,2,0,57,2020-05-13
15,0,0,72,2020-05-14
21,3,0,90,2020-05-15
16,3,0,103,2020-05-16
6,2,0,107,2020-05-17
2,0,0,109,2020-05-18
37,8,4,134,2020-05-19
17,2,0,149,2020-05-20
13,3,0,159,2020-05-21
12,0,6,165,2020-05-22
3,6,0,162,2020-05-23
10,3,-1,170,2020-05-24
11,2,0,179,2020-05-25
16,5,0,190,2020-05-26
7,4,0,193,2020-05-27
22,4,1,210,2020-05-28
5,8,0,207,2020-05-29
27,12,2,220,2020-05-30
13,3,1,229,2020-05-31
31,4,0,256,2020-06-01
45,3,1,297,2020-06-02
20,8,2,307,2020-06-03
34,8,0,333,2020-06-04
16,8,6,335,2020-06-05
13,0,0,348,2020-06-06
2,1,0,349,2020-06-07
12,0,0,361,2020-06-08
28,15,0,374,2020-06-09
36,2,0,408,2020-06-10
31,7,0,432,2020-06-11
