Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
2,0,0,2,2020-03-11
0,0,0,2,2020-03-12
0,0,0,2,2020-03-13
0,0,0,2,2020-03-14
1,0,0,3,2020-03-15
3,0,0,6,2020-03-16
2,0,0,8,2020-03-17
1,0,0,9,2020-03-18
3,0,0,12,2020-03-19
12,0,0,24,2020-03-20
0,0,0,24,2020-03-21
2,0,0,26,2020-03-22
4,0,0,30,2020-03-23
0,0,0,30,2020-03-24
6,0,0,36,2020-03-25
16,1,0,51,2020-03-26
16,0,0,67,2020-03-27
27,0,3,91,2020-03-28
15,2,0,104,2020-03-29
29,4,0,129,2020-03-30
2,0,0,131,2020-03-31
31,3,0,159,2020-04-01
47,4,0,202,2020-04-02
3,1,0,204,2020-04-03
42,0,0,246,2020-04-04
4,7,3,240,2020-04-05
30,0,0,270,2020-04-06
7,0,0,277,2020-04-07
7,0,0,284,2020-04-08
31,1,0,314,2020-04-09
39,0,1,352,2020-04-10
10,1,0,361,2020-04-11
1,1,0,361,2020-04-12
4,0,0,365,2020-04-13
10,1,0,374,2020-04-14
12,5,2,379,2020-04-15
7,4,0,382,2020-04-16
16,6,1,391,2020-04-17
15,5,0,401,2020-04-18
15,0,5,411,2020-04-19
5,0,10,406,2020-04-20
17,0,4,419,2020-04-21
16,0,1,434,2020-04-22
9,1,1,441,2020-04-23
72,8,27,478,2020-04-24
36,4,7,503,2020-04-25
0,0,0,503,2020-04-26
34,2,14,521,2020-04-27
41,3,0,559,2020-04-28
36,2,-6,599,2020-04-29
33,5,6,621,2020-04-30
33,4,33,617,2020-05-01
206,1,4,818,2020-05-02
45,6,2,855,2020-05-03
123,1,4,973,2020-05-04
92,10,0,1055,2020-05-05
191,6,10,1230,2020-05-06
224,6,22,1426,2020-05-07
86,2,38,1472,2020-05-08
59,1,3,1527,2020-05-09
142,0,8,1661,2020-05-10
128,8,3,1778,2020-05-11
-20,5,5,1748,2020-05-12
175,2,26,1895,2020-05-13
63,10,16,1932,2020-05-14
142,1,11,2062,2020-05-15
105,4,14,2149,2020-05-16
81,4,41,2185,2020-05-17
152,4,21,2312,2020-05-18
157,1,9,2459,2020-05-19
0,0,0,2459,2020-05-20
249,9,48,2651,2020-05-21
273,11,42,2871,2020-05-22
0,0,0,2871,2020-05-23
473,13,29,3302,2020-05-24
239,2,5,3534,2020-05-25
212,6,20,3720,2020-05-26
239,6,13,3940,2020-05-27
112,2,13,4037,2020-05-28
0,0,0,4037,2020-05-29
342,5,17,4357,2020-05-30
108,11,1,4453,2020-05-31
160,5,12,4596,2020-06-01
165,8,14,4739,2020-06-02
163,9,54,4839,2020-06-03
190,9,31,4989,2020-06-04
91,5,29,5046,2020-06-05
184,2,20,5208,2020-06-06
172,8,15,5357,2020-06-07
123,4,28,5448,2020-06-08
