Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
1,0,0,1,2020-03-02
0,0,0,1,2020-03-03
0,0,0,1,2020-03-04
0,0,0,1,2020-03-05
0,0,0,1,2020-03-06
0,0,0,1,2020-03-07
0,0,0,1,2020-03-08
0,0,0,1,2020-03-09
0,0,0,1,2020-03-10
0,0,0,1,2020-03-11
0,0,1,0,2020-03-12
0,0,-1,1,2020-03-13
0,0,1,0,2020-03-14
0,0,0,0,2020-03-15
1,0,0,1,2020-03-16
37,0,0,38,2020-03-17
0,0,0,38,2020-03-18
14,0,0,52,2020-03-19
22,0,0,74,2020-03-20
13,0,0,87,2020-03-21
25,1,0,111,2020-03-22
20,0,0,131,2020-03-23
31,0,0,162,2020-03-24
24,0,0,186,2020-03-25
36,2,0,220,2020-03-26
43,0,0,263,2020-03-27
41,0,0,304,2020-03-28
26,3,0,327,2020-03-29
36,2,9,352,2020-03-30
6,4,0,354,2020-03-31
14,2,0,366,2020-04-01
38,1,0,403,2020-04-02
11,1,6,407,2020-04-03
27,1,5,428,2020-04-04
35,1,5,457,2020-04-05
24,3,5,473,2020-04-06
20,1,8,484,2020-04-07
19,1,13,489,2020-04-08
19,2,6,500,2020-04-09
18,1,13,504,2020-04-10
0,0,0,504,2020-04-11
37,3,57,481,2020-04-12
8,0,0,489,2020-04-13
13,2,0,500,2020-04-14
14,2,41,471,2020-04-15
0,0,0,471,2020-04-16
23,2,22,470,2020-04-17
8,0,14,464,2020-04-18
9,1,30,442,2020-04-19
4,1,13,432,2020-04-20
0,0,34,398,2020-04-21
6,0,27,377,2020-04-22
0,0,24,353,2020-04-23
8,3,11,347,2020-04-24
7,0,0,354,2020-04-25
0,0,0,354,2020-04-26
5,0,41,318,2020-04-27
0,1,13,304,2020-04-28
0,1,25,278,2020-04-29
2,0,45,235,2020-04-30
0,1,0,234,2020-05-01
2,1,4,231,2020-05-02
1,1,21,210,2020-05-03
2,0,6,206,2020-05-04
1,1,15,191,2020-05-05
0,0,7,184,2020-05-06
1,1,5,179,2020-05-07
0,0,11,168,2020-05-08
2,1,8,161,2020-05-09
1,0,5,157,2020-05-10
0,0,0,157,2020-05-11
3,0,18,142,2020-05-12
2,1,8,135,2020-05-13
1,0,20,116,2020-05-14
0,0,8,108,2020-05-15
0,2,11,95,2020-05-16
0,0,2,93,2020-05-17
0,0,7,86,2020-05-18
0,0,4,82,2020-05-19
1,0,11,72,2020-05-20
0,0,0,72,2020-05-21
0,0,13,59,2020-05-22
0,0,1,58,2020-05-23
0,0,0,58,2020-05-24
1,0,10,49,2020-05-25
0,0,13,36,2020-05-26
0,0,0,36,2020-05-27
0,0,5,31,2020-05-28
1,0,3,29,2020-05-29
0,0,8,21,2020-05-30
0,0,2,19,2020-05-31
1,0,4,16,2020-06-01
79,0,35,60,2020-06-02
7,0,2,65,2020-06-03
1,0,3,63,2020-06-04
0,0,3,60,2020-06-05
0,0,0,60,2020-06-06
0,0,3,57,2020-06-07
0,0,7,50,2020-06-08
0,0,6,44,2020-06-09
0,0,2,42,2020-06-10
0,0,21,21,2020-06-11
