Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
1,0,0,1,2020-03-16
0,0,0,1,2020-03-17
1,0,0,2,2020-03-18
0,0,0,2,2020-03-19
0,0,0,2,2020-03-20
0,0,0,2,2020-03-21
0,0,0,2,2020-03-22
3,0,0,5,2020-03-23
1,0,0,6,2020-03-24
0,0,0,6,2020-03-25
0,0,0,6,2020-03-26
0,0,0,6,2020-03-27
0,0,0,6,2020-03-28
0,0,0,6,2020-03-29
0,0,0,6,2020-03-30
3,0,1,8,2020-03-31
4,0,0,12,2020-04-01
0,0,0,12,2020-04-02
3,0,1,14,2020-04-03
0,0,0,14,2020-04-04
6,0,3,17,2020-04-05
4,1,0,20,2020-04-06
0,0,0,20,2020-04-07
0,0,0,20,2020-04-08
0,0,0,20,2020-04-09
9,0,0,29,2020-04-10
0,0,0,29,2020-04-11
0,0,0,29,2020-04-12
0,0,0,29,2020-04-13
0,0,13,16,2020-04-14
0,0,0,16,2020-04-15
0,0,0,16,2020-04-16
0,0,0,16,2020-04-17
0,0,0,16,2020-04-18
0,0,0,16,2020-04-19
19,0,9,26,2020-04-20
0,0,0,26,2020-04-21
0,0,0,26,2020-04-22
0,0,0,26,2020-04-23
0,0,0,26,2020-04-24
0,0,0,26,2020-04-25
10,0,6,30,2020-04-26
0,0,0,30,2020-04-27
0,0,0,30,2020-04-28
0,0,0,30,2020-04-29
0,0,0,30,2020-04-30
26,1,9,46,2020-05-01
0,0,0,46,2020-05-02
0,0,0,46,2020-05-03
6,0,8,44,2020-05-04
0,0,0,44,2020-05-05
0,0,0,44,2020-05-06
44,0,3,85,2020-05-07
102,0,9,178,2020-05-08
42,0,0,220,2020-05-09
35,0,0,255,2020-05-10
0,0,0,255,2020-05-11
8,0,14,249,2020-05-12
0,0,7,242,2020-05-13
12,0,0,254,2020-05-14
0,0,0,254,2020-05-15
0,0,0,254,2020-05-16
0,0,0,254,2020-05-17
0,0,0,254,2020-05-18
-209,0,0,45,2020-05-19
0,0,-26,71,2020-05-20
5,1,4,71,2020-05-21
0,0,0,71,2020-05-22
0,0,0,71,2020-05-23
56,0,21,106,2020-05-24
0,0,2,104,2020-05-25
17,0,34,87,2020-05-26
2,0,16,73,2020-05-27
0,0,0,73,2020-05-28
14,0,2,85,2020-05-29
0,0,0,85,2020-05-30
8,0,7,86,2020-05-31
11,0,4,93,2020-06-01
1,0,1,93,2020-06-02
0,0,0,93,2020-06-03
17,0,3,107,2020-06-04
0,0,0,107,2020-06-05
0,0,0,107,2020-06-06
0,0,0,107,2020-06-07
27,1,35,98,2020-06-08
17,0,2,113,2020-06-09
0,0,0,113,2020-06-10
0,0,0,113,2020-06-11
