Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
1,0,0,1,2020-03-10
0,0,0,1,2020-03-11
0,0,0,1,2020-03-12
0,0,0,1,2020-03-13
0,0,0,1,2020-03-14
0,0,0,1,2020-03-15
0,0,0,1,2020-03-16
4,0,0,5,2020-03-17
1,0,0,6,2020-03-18
0,0,0,6,2020-03-19
0,0,0,6,2020-03-20
4,0,0,10,2020-03-21
0,0,0,10,2020-03-22
0,0,0,10,2020-03-23
0,0,0,10,2020-03-24
0,0,0,10,2020-03-25
1,0,0,11,2020-03-26
0,0,0,11,2020-03-27
1,0,0,12,2020-03-28
0,0,0,12,2020-03-29
0,0,2,10,2020-03-30
0,0,0,10,2020-03-31
2,0,0,12,2020-04-01
0,0,0,12,2020-04-02
0,0,0,12,2020-04-03
0,0,0,12,2020-04-04
0,0,0,12,2020-04-05
1,0,0,13,2020-04-06
0,0,2,11,2020-04-07
1,0,0,12,2020-04-08
0,0,0,12,2020-04-09
0,0,0,12,2020-04-10
0,0,0,12,2020-04-11
0,0,0,12,2020-04-12
1,0,0,13,2020-04-13
13,0,1,25,2020-04-14
0,0,0,25,2020-04-15
1,0,0,26,2020-04-16
0,0,0,26,2020-04-17
0,0,0,26,2020-04-18
1,0,2,25,2020-04-19
1,0,0,26,2020-04-20
1,0,1,26,2020-04-21
1,0,0,27,2020-04-22
1,0,1,27,2020-04-23
1,0,0,28,2020-04-24
0,0,0,28,2020-04-25
1,0,0,29,2020-04-26
0,0,1,28,2020-04-27
0,0,0,28,2020-04-28
0,0,0,28,2020-04-29
0,0,0,28,2020-04-30
0,0,0,28,2020-05-01
1,0,0,29,2020-05-02
0,0,0,29,2020-05-03
1,0,2,28,2020-05-04
1,0,1,28,2020-05-05
0,0,0,28,2020-05-06
0,0,0,28,2020-05-07
1,0,0,29,2020-05-08
0,0,1,28,2020-05-09
0,0,0,28,2020-05-10
0,0,0,28,2020-05-11
0,0,1,27,2020-05-12
0,0,0,27,2020-05-13
56,0,0,83,2020-05-14
0,0,5,78,2020-05-15
37,0,0,115,2020-05-16
1,0,1,115,2020-05-17
4,0,3,116,2020-05-18
0,0,2,114,2020-05-19
0,0,0,114,2020-05-20
0,0,0,114,2020-05-21
1,0,2,113,2020-05-22
0,0,2,111,2020-05-23
0,0,2,109,2020-05-24
0,0,1,108,2020-05-25
0,0,4,104,2020-05-26
7,0,6,105,2020-05-27
13,0,0,118,2020-05-28
18,0,0,136,2020-05-29
0,0,1,135,2020-05-30
0,0,0,135,2020-05-31
6,0,0,141,2020-06-01
0,0,0,141,2020-06-02
0,0,0,141,2020-06-03
1,0,21,121,2020-06-04
5,0,5,121,2020-06-05
2,0,5,118,2020-06-06
0,0,0,118,2020-06-07
1,0,0,119,2020-06-08
0,0,12,107,2020-06-09
0,0,2,105,2020-06-10
3,0,6,102,2020-06-11
