Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
0,0,0,0,2020-03-13
0,0,0,0,2020-03-14
0,0,0,0,2020-03-15
0,0,0,0,2020-03-16
0,0,0,0,2020-03-17
0,0,0,0,2020-03-18
0,0,0,0,2020-03-19
1,0,0,1,2020-03-20
2,0,0,3,2020-03-21
0,0,0,3,2020-03-22
0,1,0,2,2020-03-23
0,0,0,2,2020-03-24
0,0,0,2,2020-03-25
0,0,0,2,2020-03-26
2,0,0,4,2020-03-27
2,0,0,6,2020-03-28
0,0,0,6,2020-03-29
0,0,0,6,2020-03-30
1,0,0,7,2020-03-31
0,0,0,7,2020-04-01
1,0,0,8,2020-04-02
0,0,0,8,2020-04-03
0,0,0,8,2020-04-04
0,0,0,8,2020-04-05
1,0,0,9,2020-04-06
1,1,0,9,2020-04-07
0,1,0,8,2020-04-08
0,0,0,8,2020-04-09
2,0,0,10,2020-04-10
1,0,0,11,2020-04-11
0,0,0,11,2020-04-12
3,0,0,14,2020-04-13
0,0,0,14,2020-04-14
6,0,1,19,2020-04-15
0,0,0,19,2020-04-16
1,0,1,19,2020-04-17
1,0,0,20,2020-04-18
0,0,0,20,2020-04-19
0,0,0,20,2020-04-20
3,0,0,23,2020-04-21
0,1,0,22,2020-04-22
0,0,0,22,2020-04-23
1,0,0,23,2020-04-24
2,0,0,25,2020-04-25
0,0,0,25,2020-04-26
1,0,3,23,2020-04-27
0,0,0,23,2020-04-28
0,0,0,23,2020-04-29
8,0,0,31,2020-04-30
0,0,0,31,2020-05-01
-6,0,0,25,2020-05-02
0,0,0,25,2020-05-03
0,0,0,25,2020-05-04
0,0,0,25,2020-05-05
0,0,0,25,2020-05-06
0,0,0,25,2020-05-07
0,0,4,21,2020-05-08
1,0,0,22,2020-05-09
1,0,0,23,2020-05-10
0,0,0,23,2020-05-11
0,0,0,23,2020-05-12
1,0,3,21,2020-05-13
0,0,1,20,2020-05-14
5,0,0,25,2020-05-15
0,0,0,25,2020-05-16
2,0,4,23,2020-05-17
2,0,1,24,2020-05-18
0,0,0,24,2020-05-19
2,0,0,26,2020-05-20
3,0,0,29,2020-05-21
0,0,0,29,2020-05-22
5,0,0,34,2020-05-23
0,0,7,27,2020-05-24
0,0,0,27,2020-05-25
0,0,0,27,2020-05-26
76,0,0,103,2020-05-27
17,0,3,117,2020-05-28
0,0,0,117,2020-05-29
25,0,1,141,2020-05-30
4,0,0,145,2020-05-31
25,0,0,170,2020-06-01
3,0,0,173,2020-06-02
16,0,0,189,2020-06-03
15,0,2,202,2020-06-04
28,0,2,228,2020-06-05
14,0,0,242,2020-06-06
3,0,1,244,2020-06-07
5,0,12,237,2020-06-08
27,0,0,264,2020-06-09
6,0,3,267,2020-06-10
12,0,2,277,2020-06-11
