Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
1,0,0,1,2020-02-27
0,0,0,1,2020-02-28
0,0,0,1,2020-02-29
0,0,0,1,2020-03-01
0,0,0,1,2020-03-02
1,0,0,2,2020-03-03
0,0,0,2,2020-03-04
1,0,0,3,2020-03-05
7,0,0,10,2020-03-06
0,0,0,10,2020-03-07
0,0,0,10,2020-03-08
0,0,0,10,2020-03-09
2,0,0,12,2020-03-10
4,0,0,16,2020-03-11
0,0,0,16,2020-03-12
63,0,0,79,2020-03-13
36,0,0,115,2020-03-14
56,0,1,170,2020-03-15
34,0,0,204,2020-03-16
20,0,0,224,2020-03-17
33,0,0,257,2020-03-18
9,0,0,266,2020-03-19
16,0,0,282,2020-03-20
23,0,0,305,2020-03-21
20,0,1,324,2020-03-22
26,0,0,350,2020-03-23
17,0,5,362,2020-03-24
35,1,1,395,2020-03-25
134,0,0,529,2020-03-26
37,0,3,563,2020-03-27
70,0,9,624,2020-03-28
34,2,0,656,2020-03-29
36,0,0,692,2020-03-30
30,1,6,715,2020-03-31
34,1,7,741,2020-04-01
79,6,12,802,2020-04-02
103,1,3,901,2020-04-03
78,1,11,967,2020-04-04
58,2,3,1020,2020-04-05
11,4,0,1027,2020-04-06
41,2,7,1059,2020-04-07
36,3,3,1089,2020-04-08
22,0,11,1100,2020-04-09
51,0,10,1141,2020-04-10
46,0,0,1187,2020-04-11
5,1,5,1186,2020-04-12
23,3,4,1202,2020-04-13
41,3,13,1227,2020-04-14
27,4,2,1248,2020-04-15
34,1,16,1265,2020-04-16
25,2,12,1276,2020-04-17
53,0,17,1312,2020-04-18
16,2,2,1324,2020-04-19
7,0,1,1330,2020-04-20
17,3,4,1340,2020-04-21
7,1,15,1331,2020-04-22
33,1,8,1355,2020-04-23
13,1,14,1353,2020-04-24
30,0,22,1361,2020-04-25
8,3,5,1361,2020-04-26
4,1,0,1364,2020-04-27
13,0,7,1370,2020-04-28
6,0,-4,1380,2020-04-29
23,2,13,1388,2020-04-30
5,0,4,1389,2020-05-01
5,1,3,1390,2020-05-02
1,2,3,1386,2020-05-03
3,0,0,1389,2020-05-04
8,0,2,1395,2020-05-05
2,0,3,1394,2020-05-06
7,1,9,1391,2020-05-07
5,0,431,965,2020-05-08
8,4,43,926,2020-05-09
6,0,3,929,2020-05-10
2,1,1,929,2020-05-11
5,0,26,908,2020-05-12
5,0,0,913,2020-05-13
7,1,132,787,2020-05-14
8,1,14,780,2020-05-15
4,0,11,773,2020-05-16
4,0,4,773,2020-05-17
10,1,0,782,2020-05-18
7,0,0,789,2020-05-19
3,0,18,774,2020-05-20
6,0,532,248,2020-05-21
7,0,20,235,2020-05-22
14,0,18,231,2020-05-23
2,0,6,227,2020-05-24
1,1,6,221,2020-05-25
10,0,14,217,2020-05-26
6,1,9,213,2020-05-27
11,0,13,211,2020-05-28
8,1,36,182,2020-05-29
6,0,12,176,2020-05-30
4,1,2,177,2020-05-31
1,0,1,177,2020-06-01
0,0,7,170,2020-06-02
10,1,18,161,2020-06-03
10,0,13,158,2020-06-04
20,0,4,174,2020-06-05
21,0,8,187,2020-06-06
8,0,6,189,2020-06-07
1,0,2,188,2020-06-08
7,0,1,194,2020-06-09
