Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
1,0,0,1,2020-03-11
0,0,0,1,2020-03-12
0,0,0,1,2020-03-13
0,0,0,1,2020-03-14
0,0,0,1,2020-03-15
0,0,0,1,2020-03-16
4,0,1,4,2020-03-17
1,0,0,5,2020-03-18
3,0,0,8,2020-03-19
0,0,0,8,2020-03-20
5,0,0,13,2020-03-21
0,0,0,13,2020-03-22
11,0,0,24,2020-03-23
48,0,1,71,2020-03-24
7,0,1,77,2020-03-25
16,0,0,93,2020-03-26
5,0,0,98,2020-03-27
0,0,0,98,2020-03-28
64,1,1,160,2020-03-29
3,0,2,161,2020-03-30
11,0,1,171,2020-03-31
11,0,2,180,2020-04-01
4,0,6,178,2020-04-02
24,0,4,198,2020-04-03
27,0,6,219,2020-04-04
16,2,12,221,2020-04-05
62,0,4,279,2020-04-06
26,0,0,305,2020-04-07
35,0,7,333,2020-04-08
60,0,4,389,2020-04-09
0,0,0,389,2020-04-10
89,1,6,471,2020-04-11
41,1,27,484,2020-04-12
52,1,4,531,2020-04-13
12,0,25,518,2020-04-14
0,0,0,518,2020-04-15
16,0,32,502,2020-04-16
34,0,47,489,2020-04-17
113,2,46,554,2020-04-18
46,1,21,578,2020-04-19
0,0,0,578,2020-04-20
69,4,43,600,2020-04-21
36,1,7,628,2020-04-22
52,0,49,631,2020-04-23
73,0,60,644,2020-04-24
0,0,0,644,2020-04-25
73,0,49,668,2020-04-26
14,0,31,651,2020-04-27
19,0,26,644,2020-04-28
55,0,32,667,2020-04-29
37,0,17,687,2020-04-30
58,1,23,721,2020-05-01
29,0,25,725,2020-05-02
36,2,31,728,2020-05-03
34,0,40,722,2020-05-04
32,1,8,745,2020-05-05
52,0,20,777,2020-05-06
55,2,21,809,2020-05-07
31,0,12,828,2020-05-08
65,1,15,877,2020-05-09
33,0,25,885,2020-05-10
30,0,24,891,2020-05-11
127,0,2,1016,2020-05-12
55,3,82,986,2020-05-13
59,0,28,1017,2020-05-14
46,0,12,1051,2020-05-15
44,1,45,1049,2020-05-16
48,2,17,1078,2020-05-17
10,1,36,1051,2020-05-18
34,0,10,1075,2020-05-19
78,1,33,1119,2020-05-20
70,0,17,1172,2020-05-21
40,0,46,1166,2020-05-22
25,1,42,1148,2020-05-23
10,0,31,1127,2020-05-24
47,0,38,1136,2020-05-25
54,0,29,1161,2020-05-26
79,1,16,1223,2020-05-27
85,1,24,1283,2020-05-28
109,0,44,1348,2020-05-29
49,1,15,1381,2020-05-30
34,0,50,1365,2020-05-31
118,0,32,1451,2020-06-01
73,0,34,1490,2020-06-02
86,2,29,1545,2020-06-03
152,0,54,1643,2020-06-04
169,1,20,1791,2020-06-05
126,0,146,1771,2020-06-06
182,0,68,1885,2020-06-07
142,2,51,1974,2020-06-08
114,0,176,1912,2020-06-09
