Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
1,0,0,1,2020-03-04
0,0,0,1,2020-03-05
0,0,0,1,2020-03-06
0,0,0,1,2020-03-07
1,0,0,2,2020-03-08
0,0,0,2,2020-03-09
3,0,0,5,2020-03-10
2,0,0,7,2020-03-11
0,0,0,7,2020-03-12
9,0,0,16,2020-03-13
2,0,0,18,2020-03-14
0,0,0,18,2020-03-15
2,0,0,20,2020-03-16
4,0,0,24,2020-03-17
5,0,0,29,2020-03-18
10,1,0,38,2020-03-19
15,0,0,53,2020-03-20
6,0,0,59,2020-03-21
15,2,1,71,2020-03-22
14,0,0,85,2020-03-23
25,1,0,109,2020-03-24
59,1,1,166,2020-03-25
24,1,0,189,2020-03-26
30,0,0,219,2020-03-27
51,2,0,268,2020-03-28
34,0,0,302,2020-03-29
0,0,1,301,2020-03-30
82,2,0,381,2020-03-31
29,2,2,406,2020-04-01
32,2,0,436,2020-04-02
40,4,0,472,2020-04-03
58,0,0,530,2020-04-04
21,4,0,547,2020-04-05
22,0,0,569,2020-04-06
27,1,20,575,2020-04-07
5,1,0,579,2020-04-08
15,1,0,593,2020-04-09
28,0,0,621,2020-04-10
14,3,18,614,2020-04-11
22,3,0,633,2020-04-12
19,3,0,649,2020-04-13
21,0,0,670,2020-04-14
33,1,0,702,2020-04-15
42,2,0,742,2020-04-16
42,0,0,784,2020-04-17
0,0,0,784,2020-04-18
15,1,0,798,2020-04-19
5,0,105,698,2020-04-20
0,0,0,698,2020-04-21
25,0,42,681,2020-04-22
9,0,0,690,2020-04-23
4,0,4,690,2020-04-24
17,0,13,694,2020-04-25
10,0,9,695,2020-04-26
18,1,63,649,2020-04-27
8,1,0,656,2020-04-28
5,0,15,646,2020-04-29
14,1,11,648,2020-04-30
4,0,11,641,2020-05-01
11,1,7,644,2020-05-02
4,0,5,643,2020-05-03
5,1,78,569,2020-05-04
4,0,76,497,2020-05-05
3,0,109,391,2020-05-06
1,1,9,382,2020-05-07
4,1,38,347,2020-05-08
2,0,22,327,2020-05-09
0,0,40,287,2020-05-10
0,0,27,260,2020-05-11
0,0,13,247,2020-05-12
0,0,19,228,2020-05-13
0,0,11,217,2020-05-14
3,0,32,188,2020-05-15
2,0,5,185,2020-05-16
0,0,9,176,2020-05-17
6,1,3,178,2020-05-18
1,1,7,171,2020-05-19
1,0,36,136,2020-05-20
1,0,21,116,2020-05-21
2,0,20,98,2020-05-22
0,1,11,86,2020-05-23
3,0,3,86,2020-05-24
0,0,2,84,2020-05-25
0,0,10,74,2020-05-26
0,0,0,74,2020-05-27
17,0,9,82,2020-05-28
3,0,8,77,2020-05-29
5,0,4,78,2020-05-30
1,0,10,69,2020-05-31
7,0,4,72,2020-06-01
2,0,1,73,2020-06-02
1,1,0,73,2020-06-03
0,0,3,70,2020-06-04
0,0,1,69,2020-06-05
0,0,8,61,2020-06-06
0,0,5,56,2020-06-07
0,0,0,56,2020-06-08
0,0,0,56,2020-06-09
0,0,1,55,2020-06-10
0,0,6,49,2020-06-11
