Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
1,0,0,1,2020-01-31
0,0,0,1,2020-02-01
0,0,0,1,2020-02-02
0,0,0,1,2020-02-03
0,0,0,1,2020-02-04
0,0,0,1,2020-02-05
0,0,0,1,2020-02-06
0,0,0,1,2020-02-07
0,0,0,1,2020-02-08
0,0,0,1,2020-02-09
0,0,0,1,2020-02-10
0,0,0,1,2020-02-11
0,0,0,1,2020-02-12
0,0,0,1,2020-02-13
0,0,0,1,2020-02-14
0,0,0,1,2020-02-15
0,0,0,1,2020-02-16
0,0,0,1,2020-02-17
0,0,0,1,2020-02-18
0,0,0,1,2020-02-19
0,0,0,1,2020-02-20
0,0,0,1,2020-02-21
0,0,0,1,2020-02-22
0,0,0,1,2020-02-23
0,0,0,1,2020-02-24
0,0,0,1,2020-02-25
1,0,0,2,2020-02-26
1,0,0,3,2020-02-27
8,0,0,11,2020-02-28
3,0,0,14,2020-02-29
0,0,0,14,2020-03-01
5,0,0,19,2020-03-02
13,0,0,32,2020-03-03
30,0,0,62,2020-03-04
25,0,0,87,2020-03-05
59,0,0,146,2020-03-06
33,0,0,179,2020-03-07
46,0,0,225,2020-03-08
101,0,0,326,2020-03-09
98,1,0,423,2020-03-10
196,0,0,619,2020-03-11
151,1,0,769,2020-03-12
152,1,0,920,2020-03-13
71,2,0,989,2020-03-14
69,2,0,1056,2020-03-15
83,1,0,1138,2020-03-16
119,6,0,1251,2020-03-17
145,7,0,1389,2020-03-18
143,9,0,1523,2020-03-19
180,8,0,1695,2020-03-20
135,11,0,1819,2020-03-21
118,11,0,1926,2020-03-22
182,21,0,2087,2020-03-23
230,22,0,2295,2020-03-24
314,31,0,2578,2020-03-25
286,32,0,2832,2020-03-26
365,35,0,3162,2020-03-27
300,38,0,3424,2020-03-28
280,45,0,3659,2020-03-29
416,48,0,4027,2020-03-30
475,53,0,4449,2020-03-31
486,70,0,4865,2020-04-01
554,80,0,5339,2020-04-02
601,70,0,5870,2020-04-03
357,85,0,6142,2020-04-04
340,90,0,6392,2020-04-05
389,84,0,6697,2020-04-06
738,115,0,7320,2020-04-07
655,86,0,7889,2020-04-08
645,90,0,8444,2020-04-09
454,103,0,8795,2020-04-10
395,97,0,9093,2020-04-11
464,85,0,9472,2020-04-12
437,91,0,9818,2020-04-13
479,115,0,10182,2020-04-14
604,111,0,10675,2020-04-15
623,82,0,11216,2020-04-16
688,86,0,11818,2020-04-17
532,88,0,12262,2020-04-18
388,84,0,12566,2020-04-19
461,62,0,12965,2020-04-20
707,77,0,13595,2020-04-21
722,86,0,14231,2020-04-22
758,89,0,14900,2020-04-23
779,73,0,15606,2020-04-24
473,75,0,16004,2020-04-25
300,73,0,16231,2020-04-26
563,82,0,16712,2020-04-27
742,84,0,17370,2020-04-28
798,78,0,18090,2020-04-29
635,78,0,18647,2020-04-30
532,73,0,19106,2020-05-01
299,75,0,19330,2020-05-02
261,84,0,19507,2020-05-03
476,72,0,19911,2020-05-04
657,73,0,20495,2020-05-05
746,80,0,21161,2020-05-06
787,60,0,21888,2020-05-07
700,69,0,22519,2020-05-08
509,74,0,22954,2020-05-09
278,64,0,23168,2020-05-10
455,61,0,23562,2020-05-11
754,50,0,24266,2020-05-12
700,46,0,24920,2020-05-13
660,58,0,25522,2020-05-14
688,49,0,26161,2020-05-15
358,53,0,26466,2020-05-16
259,61,0,26664,2020-05-17
431,40,0,27055,2020-05-18
667,54,0,27668,2020-05-19
808,54,0,28422,2020-05-20
610,56,0,28976,2020-05-21
532,56,0,29452,2020-05-22
403,44,0,29811,2020-05-23
210,42,0,29979,2020-05-24
490,28,0,30441,2020-05-25
746,39,0,31148,2020-05-26
800,40,0,31908,2020-05-27
774,40,0,32642,2020-05-28
773,39,0,33376,2020-05-29
432,45,0,33763,2020-05-30
265,40,0,33988,2020-05-31
648,37,0,34599,2020-06-01
901,26,0,35474,2020-06-02
1046,45,0,36475,2020-06-03
1039,38,0,37476,2020-06-04
1146,31,0,38591,2020-06-05
