Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
1,0,0,1,2020-01-29
0,0,0,1,2020-01-30
0,0,0,1,2020-01-31
0,0,0,1,2020-02-01
0,0,0,1,2020-02-02
0,0,0,1,2020-02-03
0,0,0,1,2020-02-04
0,0,0,1,2020-02-05
0,0,0,1,2020-02-06
0,0,0,1,2020-02-07
0,0,0,1,2020-02-08
0,0,0,1,2020-02-09
0,0,0,1,2020-02-10
0,0,0,1,2020-02-11
0,0,1,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
1,0,0,1,2020-02-26
0,0,0,1,2020-02-27
0,0,0,1,2020-02-28
1,0,0,2,2020-02-29
3,0,0,5,2020-03-01
0,0,0,5,2020-03-02
0,0,0,5,2020-03-03
0,0,0,5,2020-03-04
6,0,0,11,2020-03-05
3,0,0,14,2020-03-06
0,0,0,14,2020-03-07
8,0,0,22,2020-03-08
7,0,0,29,2020-03-09
10,0,0,39,2020-03-10
19,0,0,58,2020-03-11
0,0,0,58,2020-03-12
96,0,0,154,2020-03-13
70,0,0,224,2020-03-14
19,0,9,234,2020-03-15
33,0,0,267,2020-03-16
44,0,0,311,2020-03-17
15,0,0,326,2020-03-18
64,0,0,390,2020-03-19
50,0,0,440,2020-03-20
73,1,0,512,2020-03-21
103,0,0,615,2020-03-22
74,0,0,689,2020-03-23
92,0,0,781,2020-03-24
88,2,0,867,2020-03-25
78,2,0,943,2020-03-26
83,2,0,1024,2020-03-27
126,2,0,1148,2020-03-28
73,2,0,1219,2020-03-29
112,2,0,1329,2020-03-30
66,4,0,1391,2020-03-31
28,0,0,1419,2020-04-01
72,2,290,1199,2020-04-02
97,1,0,1295,2020-04-03
267,5,0,1557,2020-04-04
45,3,0,1599,2020-04-05
249,-1,0,1849,2020-04-06
132,7,0,1974,2020-04-07
179,6,0,2147,2020-04-08
118,2,0,2263,2020-04-09
164,6,0,2421,2020-04-10
136,1,0,2556,2020-04-11
69,7,0,2618,2020-04-12
90,3,0,2705,2020-04-13
97,5,0,2797,2020-04-14
76,8,0,2865,2020-04-15
132,3,1400,1594,2020-04-16
120,7,0,1707,2020-04-17
192,8,0,1891,2020-04-18
102,4,0,1989,2020-04-19
85,4,300,1770,2020-04-20
146,43,0,1873,2020-04-21
115,8,0,1980,2020-04-22
155,23,0,2112,2020-04-23
111,5,500,1718,2020-04-24
80,9,0,1789,2020-04-25
101,4,0,1886,2020-04-26
119,3,0,2002,2020-04-27
45,6,300,1741,2020-04-28
166,7,0,1900,2020-04-29
89,5,200,1784,2020-04-30
56,7,0,1833,2020-05-01
125,2,0,1956,2020-05-02
78,10,0,2024,2020-05-03
73,10,500,1587,2020-05-04
85,6,0,1666,2020-05-05
161,6,0,1821,2020-05-06
100,3,0,1918,2020-05-07
65,5,500,1478,2020-05-08
142,5,0,1615,2020-05-09
82,2,0,1695,2020-05-10
22,4,0,1713,2020-05-11
19,4,300,1428,2020-05-12
51,9,0,1470,2020-05-13
91,3,0,1558,2020-05-14
83,6,700,935,2020-05-15
58,4,0,989,2020-05-16
61,1,0,1049,2020-05-17
33,2,0,1080,2020-05-18
19,1,0,1098,2020-05-19
44,3,-200,1339,2020-05-20
50,2,0,1387,2020-05-21
44,0,0,1431,2020-05-22
31,0,0,1462,2020-05-23
11,1,0,1472,2020-05-24
20,1,300,1191,2020-05-25
29,4,0,1216,2020-05-26
64,1,0,1279,2020-05-27
51,0,400,930,2020-05-28
33,1,0,962,2020-05-29
50,2,0,1010,2020-05-30
33,4,0,1039,2020-05-31
26,-2,0,1067,2020-06-01
2,2,0,1067,2020-06-02
24,1,0,1090,2020-06-03
0,1,300,789,2020-06-04
30,0,0,819,2020-06-05
23,0,0,842,2020-06-06
