Confirmed,Deaths,Recovered,Active,Date
0,0,0,0,2020-01-22
0,0,0,0,2020-01-23
0,0,0,0,2020-01-24
0,0,0,0,2020-01-25
0,0,0,0,2020-01-26
0,0,0,0,2020-01-27
0,0,0,0,2020-01-28
0,0,0,0,2020-01-29
0,0,0,0,2020-01-30
0,0,0,0,2020-01-31
0,0,0,0,2020-02-01
0,0,0,0,2020-02-02
0,0,0,0,2020-02-03
0,0,0,0,2020-02-04
0,0,0,0,2020-02-05
0,0,0,0,2020-02-06
0,0,0,0,2020-02-07
0,0,0,0,2020-02-08
0,0,0,0,2020-02-09
0,0,0,0,2020-02-10
0,0,0,0,2020-02-11
0,0,0,0,2020-02-12
0,0,0,0,2020-02-13
0,0,0,0,2020-02-14
0,0,0,0,2020-02-15
0,0,0,0,2020-02-16
0,0,0,0,2020-02-17
0,0,0,0,2020-02-18
0,0,0,0,2020-02-19
0,0,0,0,2020-02-20
0,0,0,0,2020-02-21
0,0,0,0,2020-02-22
0,0,0,0,2020-02-23
0,0,0,0,2020-02-24
0,0,0,0,2020-02-25
0,0,0,0,2020-02-26
0,0,0,0,2020-02-27
0,0,0,0,2020-02-28
0,0,0,0,2020-02-29
0,0,0,0,2020-03-01
0,0,0,0,2020-03-02
0,0,0,0,2020-03-03
0,0,0,0,2020-03-04
0,0,0,0,2020-03-05
0,0,0,0,2020-03-06
0,0,0,0,2020-03-07
0,0,0,0,2020-03-08
0,0,0,0,2020-03-09
0,0,0,0,2020-03-10
0,0,0,0,2020-03-11
0,0,0,0,2020-03-12
1,0,0,1,2020-03-13
0,0,0,1,2020-03-14
0,0,0,1,2020-03-15
0,0,0,1,2020-03-16
0,0,0,1,2020-03-17
0,0,0,1,2020-03-18
0,0,0,1,2020-03-19
0,0,0,1,2020-03-20
1,0,0,2,2020-03-21
0,0,0,2,2020-03-22
2,0,0,4,2020-03-23
0,0,0,4,2020-03-24
0,0,0,4,2020-03-25
0,0,0,4,2020-03-26
4,0,0,8,2020-03-27
0,0,0,8,2020-03-28
8,0,0,16,2020-03-29
6,0,0,22,2020-03-30
0,0,0,22,2020-03-31
8,0,0,30,2020-04-01
22,0,0,52,2020-04-02
21,0,2,71,2020-04-03
38,0,3,106,2020-04-04
10,0,0,116,2020-04-05
7,0,0,123,2020-04-06
16,0,0,139,2020-04-07
20,0,0,159,2020-04-08
30,0,6,183,2020-04-09
18,0,4,197,2020-04-10
38,0,2,233,2020-04-11
0,0,0,233,2020-04-12
69,0,0,302,2020-04-13
44,0,14,332,2020-04-14
41,1,0,372,2020-04-15
34,0,18,388,2020-04-16
39,2,10,415,2020-04-17
41,0,6,450,2020-04-18
61,2,22,487,2020-04-19
43,0,35,495,2020-04-20
66,1,5,555,2020-04-21
73,0,37,591,2020-04-22
101,0,6,686,2020-04-23
92,0,21,757,2020-04-24
42,1,17,781,2020-04-25
0,0,0,781,2020-04-26
167,0,38,910,2020-04-27
77,0,23,964,2020-04-28
111,0,44,1031,2020-04-29
144,0,16,1159,2020-04-30
42,0,13,1188,2020-05-01
49,0,63,1174,2020-05-02
0,0,0,1174,2020-05-03
124,2,45,1251,2020-05-04
101,1,48,1303,2020-05-05
45,1,99,1248,2020-05-06
71,0,32,1287,2020-05-07
82,0,34,1335,2020-05-08
33,0,35,1333,2020-05-09
104,0,16,1421,2020-05-10
0,0,0,1421,2020-05-11
152,0,102,1471,2020-05-12
76,3,40,1504,2020-05-13
99,1,39,1563,2020-05-14
0,0,0,1563,2020-05-15
185,1,238,1509,2020-05-16
0,0,0,1509,2020-05-17
138,0,130,1517,2020-05-18
67,2,262,1320,2020-05-19
0,0,0,1320,2020-05-20
204,0,50,1474,2020-05-21
0,1,0,1473,2020-05-22
109,1,56,1525,2020-05-23
99,0,42,1582,2020-05-24
0,0,0,1582,2020-05-25
0,0,0,1582,2020-05-26
0,0,0,1582,2020-05-27
278,2,277,1581,2020-05-28
103,0,50,1634,2020-05-29
50,1,30,1653,2020-05-30
0,0,0,1653,2020-05-31
138,0,105,1686,2020-06-01
42,0,132,1596,2020-06-02
47,0,65,1578,2020-06-03
58,0,180,1456,2020-06-04
69,0,155,1370,2020-06-05
57,0,190,1237,2020-06-06
0,0,20,1217,2020-06-07
99,0,41,1275,2020-06-08
